r,1,2,3,4,5,
0.85041504,7.00E+04,1.86E+05,2.03E+05,2.07E+05,2.41E+05,
0.85083008,6.98E+04,1.86E+05,2.03E+05,2.07E+05,2.41E+05,
0.85,7.02E+04,1.86E+05,2.04E+05,2.07E+05,2.41E+05,
0.85124512,6.96E+04,1.86E+05,2.03E+05,2.06E+05,2.40E+05,
0.85166017,6.94E+04,1.86E+05,2.03E+05,2.06E+05,2.40E+05,
0.85207521,6.92E+04,1.86E+05,2.03E+05,2.06E+05,2.40E+05,
0.85249025,6.91E+04,1.86E+05,2.03E+05,2.06E+05,2.40E+05,
0.85290529,6.89E+04,1.86E+05,2.03E+05,2.06E+05,2.40E+05,
0.85332033,6.87E+04,1.85E+05,2.03E+05,2.06E+05,2.40E+05,
0.85373537,6.85E+04,1.85E+05,2.03E+05,2.06E+05,2.40E+05,
0.85415042,6.83E+04,1.85E+05,2.02E+05,2.06E+05,2.40E+05,
0.85456546,6.81E+04,1.85E+05,2.02E+05,2.06E+05,2.40E+05,
0.8549805,6.79E+04,1.85E+05,2.02E+05,2.05E+05,2.39E+05,
0.85539554,6.77E+04,1.85E+05,2.02E+05,2.05E+05,2.39E+05,
0.85581058,6.75E+04,1.85E+05,2.02E+05,2.05E+05,2.39E+05,
0.85622562,6.73E+04,1.85E+05,2.02E+05,2.05E+05,2.39E+05,
0.85664066,6.72E+04,1.85E+05,2.02E+05,2.05E+05,2.39E+05,
0.85705571,6.70E+04,1.84E+05,2.02E+05,2.05E+05,2.39E+05,
0.85747075,6.68E+04,1.84E+05,2.02E+05,2.05E+05,2.39E+05,
0.85788579,6.66E+04,1.84E+05,2.01E+05,2.05E+05,2.39E+05,
0.85830083,6.64E+04,1.84E+05,2.01E+05,2.05E+05,2.39E+05,
0.85871587,6.62E+04,1.84E+05,2.01E+05,2.04E+05,2.38E+05,
0.85913091,6.60E+04,1.84E+05,2.01E+05,2.04E+05,2.38E+05,
0.85954595,6.59E+04,1.84E+05,2.01E+05,2.04E+05,2.38E+05,
0.859961,6.57E+04,1.84E+05,2.01E+05,2.04E+05,2.38E+05,
0.86037604,6.55E+04,1.84E+05,2.01E+05,2.04E+05,2.38E+05,
0.86079108,6.53E+04,1.83E+05,2.01E+05,2.04E+05,2.38E+05,
0.86120612,6.51E+04,1.83E+05,2.01E+05,2.04E+05,2.38E+05,
0.86162116,6.49E+04,1.83E+05,2.01E+05,2.04E+05,2.38E+05,
0.8620362,6.47E+04,1.83E+05,2.00E+05,2.04E+05,2.38E+05,
0.86245125,6.46E+04,1.83E+05,2.00E+05,2.04E+05,2.37E+05,
0.86286629,6.44E+04,1.83E+05,2.00E+05,2.03E+05,2.37E+05,
0.86328133,6.42E+04,1.83E+05,2.00E+05,2.03E+05,2.37E+05,
0.86369637,6.40E+04,1.83E+05,2.00E+05,2.03E+05,2.37E+05,
0.86411141,6.38E+04,1.83E+05,2.00E+05,2.03E+05,2.37E+05,
0.86452645,6.36E+04,1.83E+05,2.00E+05,2.03E+05,2.37E+05,
0.86494149,6.35E+04,1.82E+05,2.00E+05,2.03E+05,2.37E+05,
0.86535654,6.33E+04,1.82E+05,2.00E+05,2.03E+05,2.37E+05,
0.86577158,6.31E+04,1.82E+05,1.99E+05,2.03E+05,2.37E+05,
0.86618662,6.29E+04,1.82E+05,1.99E+05,2.03E+05,2.36E+05,
0.86660166,6.27E+04,1.82E+05,1.99E+05,2.02E+05,2.36E+05,
0.8670167,6.26E+04,1.82E+05,1.99E+05,2.02E+05,2.36E+05,
0.86743174,6.24E+04,1.82E+05,1.99E+05,2.02E+05,2.36E+05,
0.86784678,6.22E+04,1.82E+05,1.99E+05,2.02E+05,2.36E+05,
0.86826183,6.20E+04,1.82E+05,1.99E+05,2.02E+05,2.36E+05,
0.86867687,6.18E+04,1.81E+05,1.99E+05,2.02E+05,2.36E+05,
0.86909191,6.17E+04,1.81E+05,1.99E+05,2.02E+05,2.36E+05,
0.86950695,6.15E+04,1.81E+05,1.99E+05,2.02E+05,2.36E+05,
0.86992199,6.13E+04,1.81E+05,1.98E+05,2.02E+05,2.35E+05,
0.87033703,6.11E+04,1.81E+05,1.98E+05,2.01E+05,2.35E+05,
0.87075208,6.09E+04,1.81E+05,1.98E+05,2.01E+05,2.35E+05,
0.87116712,6.08E+04,1.81E+05,1.98E+05,2.01E+05,2.35E+05,
0.87158216,6.06E+04,1.81E+05,1.98E+05,2.01E+05,2.35E+05,
0.8719972,6.04E+04,1.81E+05,1.98E+05,2.01E+05,2.35E+05,
0.87241224,6.02E+04,1.80E+05,1.98E+05,2.01E+05,2.35E+05,
0.87282728,6.01E+04,1.80E+05,1.98E+05,2.01E+05,2.35E+05,
0.87324232,5.99E+04,1.80E+05,1.98E+05,2.01E+05,2.35E+05,
0.87365737,5.97E+04,1.80E+05,1.97E+05,2.01E+05,2.34E+05,
0.87407241,5.95E+04,1.80E+05,1.97E+05,2.01E+05,2.34E+05,
0.87448745,5.94E+04,1.80E+05,1.97E+05,2.00E+05,2.34E+05,
0.87490249,5.92E+04,1.80E+05,1.97E+05,2.00E+05,2.34E+05,
0.87531753,5.90E+04,1.80E+05,1.97E+05,2.00E+05,2.34E+05,
0.87573257,5.88E+04,1.80E+05,1.97E+05,2.00E+05,2.34E+05,
0.87614761,5.87E+04,1.80E+05,1.97E+05,2.00E+05,2.34E+05,
0.87656266,5.85E+04,1.79E+05,1.97E+05,2.00E+05,2.34E+05,
0.8769777,5.83E+04,1.79E+05,1.97E+05,2.00E+05,2.34E+05,
0.87739274,5.81E+04,1.79E+05,1.97E+05,2.00E+05,2.33E+05,
0.87780778,5.80E+04,1.79E+05,1.96E+05,2.00E+05,2.33E+05,
0.87822282,5.78E+04,1.79E+05,1.96E+05,1.99E+05,2.33E+05,
0.87863786,5.76E+04,1.79E+05,1.96E+05,1.99E+05,2.33E+05,
0.87905291,5.75E+04,1.79E+05,1.96E+05,1.99E+05,2.33E+05,
0.87946795,5.73E+04,1.79E+05,1.96E+05,1.99E+05,2.33E+05,
0.87988299,5.71E+04,1.79E+05,1.96E+05,1.99E+05,2.33E+05,
0.88029803,5.70E+04,1.79E+05,1.96E+05,1.99E+05,2.33E+05,
0.88071307,5.68E+04,1.78E+05,1.96E+05,1.99E+05,2.33E+05,
0.88112811,5.66E+04,1.78E+05,1.96E+05,1.99E+05,2.33E+05,
0.88154315,5.64E+04,1.78E+05,1.96E+05,1.99E+05,2.32E+05,
0.8819582,5.63E+04,1.78E+05,1.95E+05,1.99E+05,2.32E+05,
0.88237324,5.61E+04,1.78E+05,1.95E+05,1.98E+05,2.32E+05,
0.88278828,5.59E+04,1.78E+05,1.95E+05,1.98E+05,2.32E+05,
0.88320332,5.58E+04,1.78E+05,1.95E+05,1.98E+05,2.32E+05,
0.88361836,5.56E+04,1.78E+05,1.95E+05,1.98E+05,2.32E+05,
0.8840334,5.54E+04,1.78E+05,1.95E+05,1.98E+05,2.32E+05,
0.88444844,5.53E+04,1.77E+05,1.95E+05,1.98E+05,2.32E+05,
0.88486349,5.51E+04,1.77E+05,1.95E+05,1.98E+05,2.32E+05,
0.88527853,5.49E+04,1.77E+05,1.95E+05,1.98E+05,2.31E+05,
0.88569357,5.48E+04,1.77E+05,1.95E+05,1.98E+05,2.31E+05,
0.88610861,5.46E+04,1.77E+05,1.94E+05,1.98E+05,2.31E+05,
