r,1,2,3,4,5,6,7,8
0.85,53.27135235,114.2261822,-24.93078544,-17.87465588,840.7265269,-12.84821059,-10.58636441,-164.9062672
0.8543,51.54867802,113.9580301,-24.71138824,-17.71213944,832.5925788,-12.00312507,-10.05006014,-164.914393
0.8586,49.82600368,113.6898779,-24.49199104,-17.54962299,824.4586306,-11.15803954,-9.51375586,-164.9225189
0.8629,48.10332935,113.4217258,-24.27259383,-17.38710654,816.3246824,-10.31295402,-8.97745159,-164.9306447
0.8672,46.38065501,113.1535737,-24.05319663,-17.2245901,808.1907343,-9.4678685,-8.44114732,-164.9387705
0.8715,44.65798068,112.8854215,-23.83379943,-17.06207365,800.0567861,-8.62278297,-7.90484304,-164.9468963
0.8758,42.93530634,112.6172694,-23.61440222,-16.8995572,791.922838,-7.77769745,-7.36853877,-164.9550221
0.8801,41.21263201,112.3491173,-23.39500502,-16.73704076,783.7888898,-6.93261193,-6.83223449,-164.963148
0.8844,39.48995767,112.0809651,-23.17560782,-16.57452431,775.6549417,-6.08752641,-6.29593022,-164.9712738
0.8887,37.76728334,111.812813,-22.95621061,-16.41200786,767.5209935,-5.24244088,-5.75962594,-164.9793996
0.893,36.044609,111.5446608,-22.73681341,-16.24949142,759.3870453,-4.39735536,-5.22332167,-164.9875254
0.8973,34.32193467,111.2765087,-22.51741621,-16.08697497,751.2530972,-3.55226984,-4.6870174,-164.9956513
0.9016,32.59926033,111.0083566,-22.298019,-15.92445852,743.119149,-2.70718431,-4.15071312,-165.0037771
0.9059,30.876586,110.7402044,-22.0786218,-15.76194208,734.9852009,-1.86209879,-3.61440885,-165.0119029
0.9102,29.15391166,110.4720523,-21.8592246,-15.59942563,726.8512527,-1.01701327,-3.07810457,-165.0200287
0.9145,27.43123733,110.2039002,-21.6398274,-15.43690918,718.7173045,-0.17192774,-2.5418003,-165.0281545
0.9188,25.70856299,109.935748,-21.42043019,-15.27439273,710.5833564,0.67315778,-2.00549603,-165.0362804
0.9231,23.98588866,109.6675959,-21.20103299,-15.11187629,702.4494082,1.5182433,-1.46919175,-165.0444062
0.9274,22.26321432,109.3994437,-20.98163579,-14.94935984,694.3154601,2.36332882,-0.93288748,-165.052532
0.9317,20.54053999,109.1312916,-20.76223858,-14.78684339,686.1815119,3.20841435,-0.3965832,-165.0606578
0.936,18.81786565,108.8631395,-20.54284138,-14.62432695,678.0475638,4.05349987,0.13972107,-165.0687837
0.9403,17.09519132,108.5949873,-20.32344418,-14.4618105,669.9136156,4.89858539,0.67602535,-165.0769095
0.9446,15.37251698,108.3268352,-20.10404697,-14.29929405,661.7796674,5.74367092,1.21232962,-165.0850353
0.9489,13.64984265,108.0586831,-19.88464977,-14.13677761,653.6457193,6.58875644,1.74863389,-165.0931611
0.9532,11.92716831,107.7905309,-19.66525257,-13.97426116,645.5117711,7.43384196,2.28493817,-165.1012869
0.9575,10.20449397,107.5223788,-19.44585536,-13.81174471,637.377823,8.27892748,2.82124244,-165.1094128
0.9618,8.48181964,107.2542266,-19.22645816,-13.64922827,629.2438748,9.12401301,3.35754672,-165.1175386
0.9661,6.7591453,106.9860745,-19.00706096,-13.48671182,621.1099266,9.96909853,3.89385099,-165.1256644
0.9704,5.03647097,106.7179224,-18.78766376,-13.32419537,612.9759785,10.81418405,4.43015526,-165.1337902
0.9747,3.31379663,106.4497702,-18.56826655,-13.16167893,604.8420303,11.65926958,4.96645954,-165.1419161
0.979,1.5911223,106.1816181,-18.34886935,-12.99916248,596.7080822,12.5043551,5.50276381,-165.1500419
0.9833,-0.13155204,105.913466,-18.12947215,-12.83664603,588.574134,13.34944062,6.03906809,-165.1581677
0.9876,-1.85422637,105.6453138,-17.91007494,-12.67412959,580.4401859,14.19452614,6.57537236,-165.1662935
0.9919,-3.5769007,105.3771617,-17.69067774,-12.51161314,572.3062378,15.03961166,7.11167663,-165.1744193
0.9962,-5.29957504,105.1090096,-17.47128054,-12.34909669,564.1722896,15.88469718,7.64798091,-165.1825452
1.0005,-7.02224937,104.8408574,-17.25188333,-12.18658025,556.0383414,16.72978271,8.18428518,-165.190671
1.0048,-8.74492371,104.5727053,-17.03248613,-12.0240638,547.9043932,17.57486824,8.72058946,-165.1987968
1.0091,-10.46759806,104.3045531,-16.81308893,-11.86154735,539.770445,18.41995377,9.25689373,-165.2069226
1.0134,-12.1902724,104.036401,-16.59369173,-11.69903091,531.6364967,19.2650393,9.79319801,-165.2150485
1.0177,-13.91294674,103.7682489,-16.37429452,-11.53651446,523.5025485,20.11012483,10.32950228,-165.2231743
1.022,-15.63562107,103.5000967,-16.15489732,-11.37399802,515.3686004,20.95521035,10.86580656,-165.2313001
1.0263,-17.35829539,103.2319446,-15.93550012,-11.21148157,507.2346524,21.80029585,11.40211083,-165.2394259
1.0306,-19.08096969,102.9637925,-15.71610291,-11.04896512,499.1007046,22.64538135,11.9384151,-165.2475517
1.0349,-20.80364399,102.6956403,-15.4967057,-10.88644867,490.9667569,23.49046684,12.47471937,-165.2556776
1.0392,-22.52631831,102.4274882,-15.2773085,-10.72393222,482.832809,24.33555234,13.01102364,-165.2638034
1.0435,-24.24899265,102.159336,-15.0579113,-10.56141577,474.6988608,25.18063787,13.54732792,-165.2719292
1.0478,-25.97166704,101.8911839,-14.8385141,-10.39889933,466.5649119,26.02572344,14.0836322,-165.280055
1.0521,-27.69434149,101.6230318,-14.61911691,-10.23638289,458.4309624,26.87080907,14.61993648,-165.2881809
1.0564,-29.41701596,101.3548796,-14.39971971,-10.07386646,450.2970127,27.71589471,15.15624077,-165.2963067
1.0607,-31.13969039,101.0867275,-14.18032252,-9.91135002,442.1630634,28.56098032,15.69254505,-165.3044325
1.065,-32.86236472,100.8185754,-13.96092532,-9.74883357,434.0291154,29.40606583,16.22884932,-165.3125583
1.0693,-34.58503887,100.5504232,-13.7415281,-9.58631711,425.8951693,30.2511512,16.76515358,-165.3206842
1.0736,-36.30771281,100.2822711,-13.52213086,-9.42380063,417.7612258,31.09623637,17.30145782,-165.32881
1.0779,-38.03038664,100.0141189,-13.30273361,-9.26128415,409.6272836,31.94132144,17.83776205,-165.3369358
1.0822,-39.75306058,99.7459668,-13.08333637,-9.09876768,401.4933401,32.78640661,18.37406629,-165.3450616
1.0865,-41.47573488,99.47781466,-12.86393917,-8.93625123,393.3593924,33.63149211,18.91037056,-165.3531874
1.0908,-43.19840977,99.20966253,-12.64454201,-8.77373482,385.2254377,34.47657812,19.44667488,-165.3613133
1.0951,-44.92108547,98.94151039,-12.42514493,-8.61121847,377.0914734,35.32166486,19.98297928,-165.3694391
1.0994,-46.6437617,98.67335826,-12.20574789,-8.44870216,368.9575029,36.16675207,20.51928372,-165.3775649
1.1037,-48.36643761,98.40520613,-11.98635083,-8.28618583,360.8235362,37.01183899,21.05558814,-165.3856907
1.108,-50.08911232,98.137054,-11.76695366,-8.12366941,352.6895836,37.85692485,21.59189245,-165.3938166
1.1123,-51.81178495,97.86890186,-11.54755631,-7.96115284,344.5556555,38.70200886,22.12819657,-165.4019424
1.1166,-53.53445465,97.6007497,-11.32815869,-7.79863606,336.4217621,39.54709025,22.66450043,-165.4100682
1.1209,-55.25712201,97.33259754,-11.10876088,-7.63611911,328.2878962,40.39216957,23.20080407,-165.418194
1.1252,-56.9797901,97.06444538,-10.88936312,-7.47360222,320.1540217,41.23724953,23.73710779,-165.4263198
1.1295,-58.70246221,96.79629323,-10.66996572,-7.31108562,312.0200999,42.08233306,24.27341186,-165.4344456
1.1338,-60.4251416,96.52814111,-10.45056896,-7.14856953,303.886092,42.92742309,24.80971659,-165.4425714
1.1381,-62.14783156,96.25998903,-10.23117314,-6.9860542,295.7519596,43.77252252,25.34602227,-165.4506973
1.1424,-63.8705313,95.99183698,-10.01177818,-6.82353957,287.6177117,44.61763067,25.88232882,-165.4588232
1.1467,-65.59323006,95.72368493,-9.79238313,-6.66102486,279.4834754,45.46273794,26.41863529,-165.4669491
1.151,-67.31591559,95.45553284,-9.57298692,-6.49850922,271.3493952,46.30783343,26.95494057,-165.475075
1.1553,-69.03857562,95.18738066,-9.35358845,-6.33599175,263.2156157,47.15290622,27.49124356,-165.4832008
1.1596,-70.76119792,94.91922835,-9.13418666,-6.17347159,255.0822815,47.9979454,28.02754316,-165.4913264
1.1639,-72.48378061,94.6510759,-8.91478136,-6.0109486,246.9494144,48.84294933,28.5638392,-165.4994519
1.1682,-74.2063605,94.38292342,-8.69537582,-5.84842541,238.8165804,49.68795076,29.10013498,-165.5075775
1.1725,-75.92898333,94.11477108,-8.47597407,-5.68590528,230.6832399,50.53299042,29.63643462,-165.5157031
1.1768,-77.65169483,93.84661904,-8.25658015,-5.52339149,222.5488533,51.37810903,30.17274224,-165.5238291
1.1811,-79.37454075,93.57846746,-8.03719809,-5.36088729,214.4128809,52.22334734,30.70906194,-165.5319554
1.1854,-81.09754192,93.31031644,-7.81782975,-5.19839418,206.2750771,53.06872388,31.24539559,-165.5400823
1.1897,-82.82057759,93.04216559,-7.59846445,-5.03590354,198.1368663,53.91413114,31.78173235,-165.5482093
1.194,-84.54347712,92.77401433,-7.37908713,-4.87340317,190.0002616,54.75941717,32.31805686,-165.5563359
1.1983,-86.26606977,92.50586204,-7.15968271,-4.71088089,181.867277,55.60442997,32.85435379,-165.5644614
1.2026,-87.98818485,92.23770812,-6.94023613,-4.54832451,173.7399264,56.44901752,33.3906078,-165.5725854
1.2069,-89.70970683,91.9695521,-6.72073718,-4.38572578,165.6195726,57.29307697,33.92680849,-165.5807075
1.2112,-91.43101222,91.70139509,-6.50121911,-4.22311158,157.5017738,58.13694358,34.4629897,-165.5888289
1.2155,-93.15273587,91.43323932,-6.28173797,-4.06052725,149.379041,58.9811826,34.99920852,-165.5969516
1.2198,-94.87551488,91.16508704,-6.06235001,-3.89801828,141.243858,59.82636132,35.5355222,-165.6050778
1.2241,-96.59998637,90.89694051,-5.84311148,-3.73563016,133.0887088,60.67304705,36.07198803,-165.6132094
1.2284,-98.32667792,90.62880176,-5.62406898,-3.57340057,124.9073694,61.52170955,36.60865341,-165.6213483
1.2327,-100.05449,90.36066779,-5.40512541,-3.41125098,116.7128109,62.37136979,37.14541952,-165.6294908
1.237,-101.7810766,90.09253043,-5.18607363,-3.24901389,108.5327095,63.21993884,37.68207547,-165.6376293
1.2413,-103.50406,89.82438127,-4.96670372,-3.08651951,100.3951156,64.06529953,38.21840752,-165.6457562
1.2456,-105.2210624,89.5562119,-4.74680571,-2.92359806,92.32807984,64.90533467,38.75420194,-165.6538636
1.2499,-106.9298894,89.2880142,-4.52618588,-2.76009284,84.35748839,65.73809044,39.28926148,-165.6619444
1.2542,-108.6334584,89.01979505,-4.30510179,-2.59621217,76.44892695,66.56616435,39.82384836,-165.6700082
1.2585,-110.3403491,88.75158394,-4.08431098,-2.43256869,68.50117862,67.39719598,40.35873384,-165.6780828
1.2628,-112.0594354,88.48341223,-3.86459699,-2.26979604,60.40955772,68.23908674,40.89471559,-165.686197
1.2671,-113.7995914,88.21531129,-3.6467433,-2.10852787,52.0693786,69.09973806,41.43259129,-165.6943796
1.2714,-115.5695832,87.94731239,-3.43152394,-1.94939015,43.3772251,69.98695551,41.97314895,-165.702659
1.2757,-117.3710381,87.6794272,-3.21908259,-1.79249905,34.31390105,70.90218799,42.51653485,-165.7110406
1.28,-119.1941064,87.41162323,-3.00854956,-1.63715126,24.99560337,71.83666522,43.06186357,-165.7194924
1.2843,-121.0279015,87.14386193,-2.79896364,-1.48256942,15.55076184,72.78069367,43.60815654,-165.727979
1.2886,-122.8615367,86.87610479,-2.5893636,-1.32797617,6.10780625,73.72457978,44.15443513,-165.736465
1.2929,-124.6841254,86.60831325,-2.37878823,-1.17259414,-3.20483363,74.65862998,44.69972075,-165.7449152
1.2972,-126.484781,86.34044879,-2.16627629,-1.01564596,-12.25872802,75.57315072,45.24303479,-165.7532942
1.3015,-128.2526168,86.07247286,-1.95086657,-0.85635429,-20.92544712,76.45844845,45.78339864,-165.7615667
1.3058,-129.9767463,85.80434695,-1.73159784,-0.69394174,-29.07656116,77.30482962,46.31983372,-165.7696972
1.3101,-131.6462827,85.5360325,-1.50750889,-0.52763097,-36.58364035,78.10260065,46.8513614,-165.7776505
1.3144,-133.2503395,85.26749099,-1.27763848,-0.3566446,-43.31825492,78.842068,47.3770031,-165.7853912
1.3187,-134.77803,84.99868388,-1.04102539,-0.18020528,-49.15197508,79.51353811,47.8957802,-165.792884
1.323,-136.2184675,84.72957264,-0.79670841,0.00246437,-53.95637114,80.10731744,48.40671409,-165.8000935
1.3273,-137.5639701,84.46010076,-0.54395536,0.1919409,-57.6457576,80.61679048,48.90906847,-165.8070113
1.3316,-138.8191737,84.19011163,-0.28291463,0.38802904,-60.29876431,81.04717426,49.40303839,-165.8137323
1.3359,-139.9916745,83.91941395,-0.01394613,0.59034803,-62.03349901,81.40652865,49.88904267,-165.8203762
1.3402,-141.089068,83.64781641,0.26259021,0.79851714,-62.96806944,81.70291352,50.36750013,-165.8270629
1.3445,-142.1189503,83.37512766,0.54633445,1.01215564,-63.22058334,81.94438873,50.8388296,-165.8339121
1.3488,-143.0889171,83.10115638,0.83692668,1.23088278,-62.90914844,82.13901416,51.3034499,-165.8410436
