r,1,2,3
0.85,76107.2918,104938.144,830232.946
0.85461,73926.8752,102934.669,804988.591
0.85922,71798.1397,100978.503,780679.928
0.86383,69720.0304,99068.5847,757267.53
0.86844,67691.5112,97203.8796,734713.83
0.87306,65711.5651,95383.3769,712983.021
0.87767,63779.1931,93606.0895,692040.97
0.88228,61893.4149,91871.0535,671855.124
0.88689,60053.2677,90177.3274,652394.44
0.8915,58257.8066,88523.9917,633629.295
0.89611,56506.1039,86910.1485,615531.424
0.90072,54797.2491,85334.9207,598073.848
0.90533,53130.3487,83797.4513,581230.807
0.90994,51504.5256,82296.9036,564977.702
0.91456,49918.9192,80832.46,549291.036
0.91917,48372.685,79403.3217,534148.361
0.92378,46864.9944,78008.7085,519528.222
0.92839,45395.0343,76647.8581,505410.114
0.933,43962.0072,75320.0256,491774.432
0.93761,42565.1307,74024.4833,478602.427
0.94222,41203.6373,72760.5201,465876.167
0.94683,39876.7743,71527.4411,453578.496
0.95144,38583.8033,70324.5672,441692.998
0.95606,37324.0004,69151.2349,430203.959
0.96067,36096.6555,68006.7955,419096.339
0.96528,34901.0726,66890.6151,408355.733
0.96989,33736.5691,65802.0741,397968.348
0.9745,32602.4758,64740.567,387920.971
0.97911,31498.1368,63705.5017,378200.942
0.98372,30422.9091,62696.2994,368796.127
0.98833,29376.1624,61712.3945,359694.9
0.99294,28357.2791,60753.2337,350886.111
0.99756,27365.6539,59818.2763,342359.071
1.00217,26400.6936,58906.9935,334103.528
1.00678,25461.817,58018.8681,326109.646
1.01139,24548.4547,57153.3945,318367.992
1.016,23660.0488,56310.0784,310869.51
1.02061,22796.0528,55488.436,303605.51
1.02522,21955.9313,54687.9945,296567.649
1.02983,21139.1601,53908.2913,289747.918
1.03444,20345.2256,53148.8738,283138.624
1.03906,19573.625,52409.2995,276732.378
1.04367,18823.8656,51689.1355,270522.083
1.04828,18095.4653,50987.9581,264500.919
1.05289,17387.952,50305.353,258662.331
1.0575,16700.8633,49640.9146,253000.019
1.06211,16033.7468,48994.2464,247507.929
1.06672,15386.1594,48364.9601,242180.236
1.07133,14757.6674,47752.6759,237011.34
1.07594,14147.8465,47157.0221,231995.855
1.08056,13556.2812,46577.6349,227128.6
1.08517,12982.565,46014.1583,222404.589
1.08978,12426.3,45466.2438,217819.023
1.09439,11887.0969,44933.5504,213367.287
1.099,11364.5747,44415.7443,209044.934
1.10361,10858.3606,43912.4985,204847.684
1.10822,10368.09,43423.4932,200771.417
1.11283,9893.40609,42948.4153,196812.163
1.11744,9433.95972,42486.958,192966.099
1.12206,8989.40944,42038.8212,189229.543
1.12667,8559.4212,41603.7109,185598.945
1.13128,8143.66823,41181.3394,182070.885
1.13589,7741.8309,40771.4247,178642.067
1.1405,7353.59658,40373.691,175309.313
1.14511,6978.65948,39987.8679,172069.559
1.14972,6616.72055,39613.6907,168919.852
1.15433,6267.48726,39250.9003,165857.343
1.15894,5930.67354,38899.2428,162879.283
1.16356,5605.99963,38558.4695,159983.022
1.16817,5293.1919,38228.3368,157166.001
1.17278,4991.98279,37908.6062,154425.754
1.17739,4702.11059,37599.044,151759.897
1.182,4423.31942,37299.4213,149166.132
1.18661,4155.35901,37009.5138,146642.24
1.19122,3897.98463,36729.1018,144186.077
1.19583,3650.95695,36457.9702,141795.574
1.20044,3414.04193,36195.9079,139468.733
1.20506,3187.01067,35942.7085,137203.623
1.20967,2969.63936,35698.1696,134998.381
1.21428,2761.70909,35462.0928,132851.204
1.21889,2563.00578,35234.2839,130760.351
1.2235,2373.32008,35014.5524,128724.142
1.22811,2192.44724,34802.7118,126740.948
1.23272,2020.187,34598.5793,124809.199
1.23733,1856.3435,34401.9757,122927.376
1.24194,1700.72518,34212.7256,121094.008
1.24656,1553.14467,34030.6569,119307.676
1.25117,1413.4187,33855.6012,117567.005
1.25578,1281.36798,33687.3932,115870.666
1.26039,1156.81714,33525.871,114217.374
1.265,1039.59464,33370.8761,112605.885
1.26961,929.53263,33222.253,111034.994
1.27422,826.46691,33079.8494,109503.538
1.27883,730.23682,32943.516,108010.389
1.28344,640.68517,32813.1065,106554.456
1.28806,557.65814,32688.4776,105134.682
1.29267,481.00522,32569.4887,103750.045
1.29728,410.5791,32456.0022,102399.554
1.30189,346.23563,32347.8831,101082.251
1.3065,287.8337,32244.9993,99797.2071
1.31111,235.23522,32147.221,98543.5218
1.31572,188.30499,32054.4214,97320.324
1.32033,146.91067,31966.476,96126.7694
1.32494,110.9227,31883.2629,94962.0396
1.32956,80.21423,31804.6625,93825.342
1.33417,54.66105,31730.5578,92715.9081
1.33878,34.14153,31660.834,91632.9932
1.34339,18.53657,31595.3787,90575.8751
1.348,7.72952,31534.0817,89543.8541
1.35261,1.60611,31476.8352,88536.2515
1.35722,0.05444,31423.5332,87552.4092
1.36183,2.96489,31374.0723,86591.689
1.36644,10.23004,31328.3508,85653.472
1.37106,21.74469,31286.2693,84737.1578
1.37567,37.40573,31247.7303,83842.1639
1.38028,57.11217,31212.6385,82967.9254
1.38489,80.76502,31180.9001,82113.8938
1.3895,108.26732,31152.4238,81279.5373
1.39411,139.52403,31127.1196,80464.3395
1.39872,174.44206,31104.8997,79667.7992
1.40333,212.93017,31085.678,78889.4301
1.40794,254.89896,31069.3702,78128.7599
1.41256,300.26084,31055.8937,77385.3301
1.41717,348.92998,31045.1677,76658.6957
1.42178,400.82229,31037.1128,75948.4244
1.42639,455.85536,31031.6516,75254.0965
1.431,513.94848,31028.7082,74575.3042
1.43561,575.02255,31028.2081,73911.6515
1.44022,639.00008,31030.0787,73262.7538
1.44483,705.80516,31034.2485,72628.2373
1.44944,775.36343,31040.648,72007.7389
1.45406,847.60202,31049.2087,71400.9058
1.45867,922.44958,31059.8638,70807.3952
1.46328,999.83619,31072.548,70226.8738
1.46789,1079.69339,31087.1971,69659.0178
1.4725,1161.95411,31103.7487,69103.5122
1.47711,1246.55265,31122.1412,68560.0512
1.48172,1333.42466,31142.3149,68028.3371
1.48633,1422.50714,31164.2109,67508.0807
1.49094,1513.73835,31187.7719,66999.0007
1.49556,1607.05784,31212.9418,66500.8235
1.50017,1702.40643,31239.6656,66013.2831
1.50478,1799.72611,31267.8895,65536.1207
1.50939,1898.96012,31297.5611,65069.0845
1.514,2000.05283,31328.6291,64611.9299
1.51861,2102.94979,31361.043,64164.4184
1.52322,2207.59765,31394.754,63726.3184
1.52783,2313.94416,31429.714,63297.4044
1.53244,2421.93817,31465.876,62877.4568
1.53706,2531.52956,31503.1942,62466.2621
1.54167,2642.66925,31541.6239,62063.6124
1.54628,2755.30916,31581.1212,61669.3054
1.55089,2869.40219,31621.6434,61283.1441
1.5555,2984.90223,31663.1486,60904.9367
