r,1,2,3
0.85,-281.5525849,367.7441863,-263.6739083
0.85461111,-280.5266051,366.1486627,-262.8534216
0.85922222,-279.4991667,364.5500868,-262.0336277
0.86383333,-278.4707065,362.9485897,-261.2145612
0.86844444,-277.4416584,361.3443019,-260.3962564
0.87305556,-276.4124532,359.7373537,-259.5787469
0.87766667,-275.3835186,358.1278748,-258.7620659
0.88227778,-274.355279,356.5159949,-257.9462461
0.88688889,-273.3281554,354.901843,-257.1313197
0.8915,-272.3025654,353.2855478,-256.3173183
0.89611111,-271.2789232,351.6672375,-255.5042733
0.90072222,-270.2576383,350.0470398,-254.6922152
0.90533333,-269.2389954,348.4250822,-253.8811743
0.90994444,-268.2230375,346.8014914,-253.0711804
0.91455556,-267.2097804,345.1763938,-252.2622628
0.91916667,-266.1992415,343.5499152,-251.4544502
0.92377778,-265.1914393,341.922181,-250.647771
0.92838889,-264.1863935,340.293316,-249.842253
0.933,-263.1841252,338.6634443,-249.0379236
0.93761111,-262.1846562,337.0326897,-248.2348097
0.94222222,-261.1880097,335.4011751,-247.4329378
0.94683333,-260.1942096,333.7690232,-246.6323339
0.95144444,-259.2032809,332.1363557,-245.8330235
0.95605556,-258.2152543,330.503294,-245.0350317
0.96066667,-257.2302016,328.8699586,-244.2383832
0.96527778,-256.2482146,327.2364696,-243.4431022
0.96988889,-255.2693847,325.6029462,-242.6492125
0.9745,-254.2938033,323.969507,-241.8567373
0.97911111,-253.3215613,322.3362702,-241.0656996
0.98372222,-252.3527491,320.7033528,-240.2761218
0.98833333,-251.3874566,319.0708715,-239.488026
0.99294444,-250.425773,317.4389421,-238.7014338
0.99755556,-249.4677871,315.8076798,-237.9163663
1.00216667,-248.5135866,314.1771988,-237.1328444
1.00677778,-247.5632583,312.5476128,-236.3508883
1.01138889,-246.6168522,310.9190346,-235.5705182
1.016,-245.6743555,309.2915763,-234.7917534
1.02061111,-244.73575,307.6653492,-234.0146132
1.02522222,-243.8010174,306.0404638,-233.2391163
1.02983333,-242.8701399,304.4170297,-232.465281
1.03444444,-241.9431,302.7951559,-231.6931254
1.03905556,-241.0198801,301.1749503,-230.922667
1.04366667,-240.1004626,299.5565203,-230.1539229
1.04827778,-239.18483,297.9399721,-229.3869101
1.05288889,-238.2729646,296.3254112,-228.621645
1.0575,-237.3648483,294.7129424,-227.8581435
1.06211111,-236.4604426,293.1026695,-227.0964216
1.06672222,-235.5595659,291.4946952,-226.3364944
1.07133333,-234.6619771,289.8891217,-225.5783769
1.07594444,-233.7674374,288.28605,-224.8220838
1.08055556,-232.8757101,286.6855805,-224.0676294
1.08516667,-231.9865606,285.0878124,-223.3150276
1.08977778,-231.0997564,283.492844,-222.5642919
1.09438889,-230.2150668,281.900773,-221.8154356
1.099,-229.3322626,280.3116958,-221.0684716
1.10361111,-228.4511163,278.7257081,-220.3234124
1.10822222,-227.5714016,277.1429045,-219.5802704
1.11283333,-226.6928926,275.5633787,-218.8390574
1.11744444,-225.815306,273.9872235,-218.099785
1.12205556,-224.9382715,272.4145307,-217.3624645
1.12666667,-224.0614136,270.845391,-216.6271069
1.13127778,-223.1843598,269.2798944,-215.8937227
1.13588889,-222.3067395,267.7181298,-215.1623224
1.1405,-221.4281846,266.1601849,-214.432916
1.14511111,-220.5483286,264.6061468,-213.7055131
1.14972222,-219.6668068,263.0561012,-212.9801234
1.15433333,-218.7832561,261.5101332,-212.2567559
1.15894444,-217.8973145,259.9683265,-211.5354195
1.16355556,-217.0086213,258.4307642,-210.8161227
1.16816667,-216.1170412,256.897528,-210.0988739
1.17277778,-215.2237976,255.3686988,-209.3836812
1.17738889,-214.3306047,253.8443565,-208.6705521
1.182,-213.4391536,252.3245799,-207.9594943
1.18661111,-212.5511122,250.8094467,-207.250515
1.19122222,-211.6681252,249.2990338,-206.543621
1.19583333,-210.7918153,247.7934168,-205.8388191
1.20044444,-209.9237832,246.2926704,-205.1361158
1.20505556,-209.0656086,244.7968684,-204.4355171
1.20966667,-208.2188502,243.3060831,-203.7370291
1.21427778,-207.3850471,241.8203864,-203.0406574
1.21888889,-206.565705,240.3398486,-202.3464075
1.2235,-205.7617361,238.8645392,-201.6542846
1.22811111,-204.9732685,237.3945266,-200.9642937
1.23272222,-204.2003726,235.9298782,-200.2764394
1.23733333,-203.4431156,234.4706604,-199.5907264
1.24194444,-202.7015624,233.0169383,-198.9071589
1.24655556,-201.9757748,231.5687761,-198.225741
1.25116667,-201.2658123,230.1262371,-197.5464764
1.25577778,-200.5717317,228.6893832,-196.869369
1.26038889,-199.8935875,227.2582756,-196.194422
1.265,-199.2314318,225.8329741,-195.5216387
1.26961111,-198.5853143,224.4135377,-194.851022
1.27422222,-197.9552225,223.0000243,-194.1825749
1.27883333,-197.3408278,221.5924905,-193.5162999
1.28344444,-196.7417002,220.1909922,-192.8521994
1.28805556,-196.1574119,218.795584,-192.1902756
1.29266667,-195.5875373,217.4063195,-191.5305306
1.29727778,-195.0316526,216.0232513,-190.8729661
1.30188889,-194.4893358,214.6464309,-190.2175838
1.3065,-193.9601669,213.2759086,-189.5643853
1.31111111,-193.4437272,211.9117339,-188.9133717
1.31572222,-192.9395998,210.5539551,-188.2645443
1.32033333,-192.4473691,209.2026195,-187.6179039
1.32494444,-191.9666242,207.8577733,-186.9734513
1.32955556,-191.4970692,206.5194616,-186.3311872
1.33416667,-191.0385427,205.1877286,-185.6911119
1.33877778,-190.5908905,203.8626174,-185.0532257
1.34338889,-190.1539576,202.5441699,-184.4175289
1.348,-189.7275879,201.2324273,-183.7840212
1.35261111,-189.3116245,199.9274293,-183.1527026
1.35722222,-188.9059096,198.629215,-182.5235727
1.36183333,-188.5102845,197.3378222,-181.896631
1.36644444,-188.1245897,196.0532878,-181.2718769
1.37105556,-187.7486646,194.7756475,-180.6493096
1.37566667,-187.382348,193.5049361,-180.0289281
1.38027778,-187.0254824,192.2411875,-179.4107315
1.38488889,-186.6779304,190.9844343,-178.7947185
1.3895,-186.3395596,189.7347084,-178.1808878
1.39411111,-186.0102367,188.4920403,-177.569238
1.39872222,-185.6898272,187.2564598,-176.9597674
1.40333333,-185.3781959,186.0279957,-176.3524744
1.40794444,-185.0752063,184.8066755,-175.747357
1.41255556,-184.7807212,183.592526,-175.1444135
