r,e
2.5,32664.23402
2.52,32664.0074
2.54,32663.82258
2.56,32663.67156
2.58,32663.29116
2.6,32662.03177
2.62,32666.58758
2.64,32665.01456
2.66,32664.23712
2.68,32664.04481
2.7,32663.81892
2.72,32663.59931
2.74,32663.18891
2.76,32661.31434
2.78,32665.75787
2.8,32664.49298
2.82,32664.32173
2.84,32663.98073
2.86,32663.77224
2.88,32663.52173
2.9,32663.07553
2.92,32655.57057
2.94,32665.20629
2.96,32664.36094
2.98,32664.00393
3,32663.91758
3.02,32663.78649
3.04,32663.50381
3.06,32662.7732
3.08,32672.27359
3.1,32664.79806
3.12,32664.24825
3.14,32664.02116
3.16,32664.05314
3.18,32663.6746
3.2,32663.28004
3.22,32662.21398
3.24,32666.5738
3.26,32664.59979
3.28,32664.19689
3.3,32663.9654
3.32,32663.63783
3.34,32663.57346
3.36,32663.14917
3.38,32659.88564
3.4,32665.37867
3.42,32664.40369
3.44,32664.09773
3.46,32663.88283
3.48,32663.68832
3.5,32663.5301
3.52,32662.84977
3.54,32674.55522
3.56,32664.84651
3.58,32664.30666
3.6,32664.04379
3.62,32663.84249
3.64,32663.5907
3.66,32663.48762
3.68,32662.24704
3.7,32666.81663
3.72,32664.61687
3.74,32664.16964
3.76,32663.98196
3.78,32663.78835
3.8,32663.55336
3.82,32662.57741
3.84,32660.24736
3.86,32665.44667
3.88,32664.46136
3.9,32664.12632
3.92,32663.93242
3.94,32663.73155
3.96,32663.4608
3.98,32662.77851
4,32654.82719
4.02,32664.91834
4.04,32664.3149
4.06,32664.04854
4.08,32663.8424
4.1,32663.50009
4.12,32663.3535
4.14,32662.32238
4.16,32667.16532
4.18,32664.65325
4.2,32664.21902
4.22,32663.98929
4.24,32663.79807
4.26,32663.37167
4.28,32663.16538
4.3,32660.75516
4.32,32665.6524
4.34,32664.49551
4.36,32664.14536
4.38,32663.9498
4.4,32663.74251
4.42,32663.48412
4.44,32662.91983
4.46,32659.94223
4.48,32666.06427
4.5,32664.36276
4.52,32664.06671
4.54,32663.8649
4.56,32663.61464
4.58,32663.389
4.6,32662.49126
4.62,32667.70396
4.64,32664.56268
4.66,32664.26089
4.68,32664.00947
4.7,32663.81635
4.72,32663.61026
4.74,32663.22225
4.76,32661.32951
4.78,32665.74577
4.8,32664.4832
4.82,32664.22618
4.84,32663.97108
4.86,32663.77343
4.88,32663.51417
4.9,32662.98916
4.92,32660.25886
4.94,32665.07618
4.96,32664.32734
4.98,32664.17897
5,32663.89298
5.02,32663.67033
5.04,32663.43871
5.06,32662.64716
5.08,32668.73406
5.1,32664.73227
5.12,32664.21055
5.14,32664.72306
5.16,32663.86931
5.18,32663.64391
5.2,32663.27226
5.22,32661.78609
5.24,32666.02573
5.26,32664.47064
5.28,32664.16831
5.3,32663.86886
5.32,32663.81438
5.34,32663.55794
5.36,32663.06791
5.38,32661.88644
5.4,32665.21637
5.42,32664.38712
5.44,32664.0768
5.46,32663.83452
5.48,32663.74148
5.5,32663.5892
5.52,32662.78519
5.54,32670.34986
5.56,32664.81566
5.58,32664.27259
5.6,32664.00921
5.62,32663.81602
5.64,32663.72248
5.66,32663.3316
5.68,32662.1259
5.7,32666.46317
5.72,32664.57798
5.74,32664.21425
5.76,32663.97703
5.78,32663.76666
5.8,32664.21382
5.82,32663.17794
5.84,32660.01234
5.86,32665.4103
5.88,32664.43427
5.9,32664.11078
5.92,32663.90353
5.94,32663.69772
5.96,32663.29715
5.98,32662.93566
6,32657.43202
6.02,32664.92391
6.04,32664.31173
6.06,32664.06525
6.08,32663.86219
6.1,32663.65361
6.12,32663.30441
6.14,32662.43969
6.16,32667.16362
6.18,32664.66361
6.2,32664.30752
6.22,32664.00518
6.24,32663.80524
6.26,32663.57989
6.28,32663.1663
6.3,32661.28785
6.32,32665.65155
6.34,32664.49198
6.36,32664.13951
6.38,32663.92891
6.4,32663.74991
6.42,32663.48099
6.44,32662.9997
6.46,32659.36923
6.48,32665.05923
