r,e
2.5,32663.55247
2.52,32663.38196
2.54,32662.88718
2.56,32658.86771
2.58,32664.79213
2.6,32664.22208
2.62,32663.94046
2.64,32663.81834
2.66,32663.68937
2.68,32663.52296
2.7,32663.23972
2.72,32662.35483
2.74,32666.84686
2.76,32664.44995
2.78,32664.07091
2.8,32663.8665
2.82,32663.73902
2.84,32663.60345
2.86,32663.40609
2.88,32662.99126
2.9,32656.59819
2.92,32664.91162
2.94,32664.20056
2.96,32663.9486
2.98,32663.79183
3,32663.62637
3.02,32663.54869
3.04,32663.24406
3.06,32662.2382
3.08,32666.22779
3.1,32664.37677
3.12,32664.05258
3.14,32663.87081
3.16,32663.71958
3.18,32663.56405
3.2,32663.34659
3.22,32663.09215
3.24,32657.30468
3.26,32664.68334
3.28,32664.13869
3.3,32663.92126
3.32,32663.77199
3.34,32663.64396
3.36,32663.45702
3.38,32663.07356
3.4,32660.84413
3.42,32665.06988
3.44,32664.27636
3.46,32663.9995
3.48,32663.83422
3.5,32663.6835
3.52,32663.5318
3.54,32663.27141
3.56,32662.46193
3.58,32667.27293
3.6,32664.47031
3.62,32664.07791
3.64,32663.87416
3.66,32663.74264
3.68,32663.59685
3.7,32663.39732
3.72,32662.94921
3.74,32660.0698
3.76,32664.72992
3.78,32664.17544
3.8,32663.94053
3.82,32663.80316
3.84,32663.65
3.86,32663.45296
3.88,32663.26924
3.9,32661.94194
3.92,32665.63958
3.94,32664.31997
3.96,32664.02485
3.98,32663.8477
4,32663.69821
4.02,32663.544
4.04,32663.30277
4.06,32662.62164
4.08,32668.14475
4.1,32664.37986
4.12,32664.08716
4.14,32663.92242
4.16,32663.75516
4.18,32663.62553
4.2,32663.42508
4.22,32663.02135
4.24,32659.22323
4.26,32664.90999
4.28,32664.22263
4.3,32663.96794
4.32,32663.7726
4.34,32663.6945
4.36,32663.5189
4.38,32663.23274
4.4,32662.24193
4.42,32666.21061
4.44,32664.38984
4.46,32664.04008
4.48,32663.85849
4.5,32663.70382
4.52,32663.58758
4.54,32663.3461
4.56,32662.37598
4.58,32659.23185
4.6,32664.68359
4.62,32664.13005
4.64,32663.92968
4.66,32663.77829
4.68,32663.63463
4.7,32663.5034
4.72,32663.10817
4.74,32660.93451
4.76,32665.23771
4.78,32664.2737
4.8,32663.996
4.82,32663.82563
4.84,32663.68997
4.86,32663.52572
4.88,32663.27285
4.9,32662.24866
4.92,32667.4605
4.94,32664.47873
4.96,32664.07574
4.98,32663.88281
5,32663.74087
5.02,32663.58209
5.04,32663.45019
5.06,32663.00606
5.08,32661.03817
5.1,32664.87069
5.12,32664.19453
5.14,32663.9537
5.16,32663.79906
5.18,32663.65871
5.2,32663.48501
5.22,32663.17393
5.24,32661.78089
5.26,32665.21355
5.28,32664.36703
5.3,32664.03096
5.32,32663.85035
5.34,32663.72226
5.36,32663.56557
5.38,32663.13311
5.4,32662.75813
5.42,32670.26436
5.44,32664.58852
5.46,32664.13742
5.48,32663.91623
5.5,32663.79659
5.52,32663.63599
5.54,32663.45329
5.56,32663.08652
5.58,32661.08361
5.6,32665.16399
5.62,32664.24619
5.64,32664.00151
5.66,32663.82516
5.68,32663.68373
5.7,32663.5226
5.72,32663.20625
5.74,32662.73936
5.76,32667.18629
5.78,32664.45328
5.8,32664.06242
5.82,32663.81995
5.84,32663.74808
5.86,32663.59447
5.88,32663.38865
5.9,32662.91882
5.92,32660.11771
5.94,32664.78068
5.96,32664.17152
5.98,32663.93946
6,32663.78051
6.02,32663.66452
6.04,32663.48942
6.06,32663.18894
6.08,32661.87621
6.1,32665.65873
6.12,32664.30313
6.14,32664.0192
6.16,32663.84479
6.18,32663.70613
6.2,32663.70915
6.22,32663.36777
6.24,32662.7871
6.26,32657.96868
6.28,32664.60047
6.3,32664.12331
6.32,32663.91323
6.34,32663.76515
6.36,32663.61637
6.38,32663.40664
6.4,32663.0477
6.42,32659.34728
6.44,32665.32102
6.46,32664.25294
6.48,32663.97691
