poten 1
name "X2Pi"
lambda 1
type   grid
units bohr cm-1
values
1.80	87386179.811099400000
2.00	87366240.011099400000
2.30	87352082.611099400000
2.40	87350518.311099400000
2.50	87349860.511099400000
2.60	87349876.711099400000
2.70	87350397.111099400000
2.80	87351291.111099400000
2.90	87352457.011099400000
3.00	87353814.411099400000
3.10	87355300.211099400000
3.20	87356863.811099400000
3.25	87357662.011099400000
3.40	87360072.911099400000
3.50	87361661.011099400000
3.60	87363209.411099400000
3.75	87365423.811099400000
3.80	87366127.011099400000
3.90	87367474.311099400000
4.00	87368737.211099400000
4.25	87371499.111099400000
4.50	87373686.511099400000
5.50	87377926.611099400000
6.50	87378857.411099400000
7.50	87379055.711099400000
8.50	87379103.211099400000
10.00	87379120.011099400000
end

poten 2
name "A2Sigma+"
lambda 0
symmetry +
mult   2
type   grid
units bohr cm-1
values
1.80	87421355.811099400000
2.00	87401054.011099400000
2.30	87385491.111099400000
2.40	87383436.311099400000
2.50	87382216.911099400000
2.60	87381600.511099400000
2.70	87381418.911099400000
2.80	87381544.911099400000
2.90	87381880.811099400000
3.00	87382351.511099400000
3.10	87382899.311099400000
3.20	87383480.711099400000
3.25	87383773.511099400000
3.40	87384624.211099400000
3.50	87385147.611099400000
3.60	87385624.411099400000
3.75	87386243.411099400000
3.80	87386424.011099400000
3.90	87386748.111099400000
4.00	87387026.211099400000
4.25	87387550.811099400000
4.50	87387891.311099400000
5.50	87388407.711099400000
6.50	87388526.511099400000
7.50	87388568.811099400000
8.50	87388587.711099400000
10.00	87388598.911099400000
end

poten 3
name "4Sigma-"
lambda 0
mult   4
symmetry -
type   grid
units bohr cm-1
values
1.80	87437973.211099400000
2.00	87417623.611099400000
2.30	87401598.911099400000
2.40	87398147.211099400000
2.50	87395188.311099400000
2.60	87392685.611099400000
2.70	87390570.211099400000
2.80	87388777.611099400000
2.90	87387255.011099400000
3.00	87385960.311099400000
3.10	87384859.811099400000
3.20	87383926.211099400000
3.25	87383514.411099400000
3.40	87382469.211099400000
3.50	87381908.611099400000
3.60	87381438.611099400000
3.75	87380874.311099400000
3.80	87380717.711099400000
3.90	87380444.311099400000
4.00	87380216.311099400000
4.25	87379796.711099400000
4.50	87379524.411099400000
5.50	87379074.211099400000
6.50	87378985.411099400000
7.50	87378983.211099400000
8.50	87378994.211099400000
10.00	87379005.011099400000
end

poten 4
name "2Sigma-"
lambda 0
mult   2
symmetry -
type   grid
units bohr cm-1
values
1.80	87440324.211099400000
2.00	87419892.011099400000
2.30	87406416.311099400000
2.40	87403739.311099400000
2.50	87401226.211099400000
2.60	87398953.711099400000
2.70	87396909.211099400000
2.80	87395066.211099400000
2.90	87393401.711099400000
3.00	87391897.111099400000
3.10	87390537.611099400000
3.20	87389310.611099400000
3.25	87388743.311099400000
3.40	87387210.111099400000
3.50	87386316.311099400000
3.60	87385514.211099400000
3.75	87384464.011099400000
3.80	87384150.611099400000
3.90	87383573.511099400000
4.00	87383056.811099400000
4.25	87381990.711099400000
4.50	87381185.611099400000
5.50	87379556.211099400000
6.50	87379111.911099400000
7.50	87379014.411099400000
8.50	87379001.511099400000
10.00	87379005.811099400000

end

poten 5
name "4Pi"
lambda 1
mult   4
type   grid
units bohr cm-1
values
1.80	87450661.911099400000
2.00	87430269.911099400000
2.30	87427239.311099400000
2.40	87423672.311099400000
2.50	87419284.111099400000
2.60	87415181.911099400000
2.70	87411413.811099400000
2.80	87407964.211099400000
2.90	87404813.811099400000
3.00	87401945.711099400000
3.10	87399344.111099400000
3.20	87396993.611099400000
3.25	87395907.511099400000
3.40	87392981.511099400000
3.50	87391286.911099400000
3.60	87389777.811099400000
3.75	87387826.111099400000
3.80	87387250.911099400000
3.90	87386202.511099400000
4.00	87385278.511099400000
4.25	87383429.611099400000
4.50	87382103.811099400000
5.50	87379729.211099400000
6.50	87379213.511099400000
7.50	87379123.811099400000
8.50	87379115.911099400000
10.00	87379120.911099400000
end
