wavenumber,cross_sec
30000,1.37E-20
30000.1,2.04E-20
30000.2,1.32E-20
30000.3,5.83E-21
30000.4,5.52E-21
30000.5,7.13E-21
30000.6,7.57E-21
30000.7,6.90E-21
30000.8,6.56E-21
30000.9,5.53E-21
30001,4.34E-21
30001.1,3.69E-21
30001.2,4.88E-21
30001.3,1.05E-20
30001.4,1.52E-20
30001.5,1.29E-20
30001.6,1.12E-20
30001.7,1.45E-20
30001.8,1.42E-20
30001.9,9.10E-21
30002,6.85E-21
30002.1,5.97E-21
30002.2,6.99E-21
30002.3,8.30E-21
30002.4,8.29E-21
30002.5,9.84E-21
30002.6,1.55E-20
30002.7,1.83E-20
30002.8,1.65E-20
30002.9,1.79E-20
30003,1.88E-20
30003.1,2.31E-20
30003.2,3.38E-20
30003.3,4.18E-20
30003.4,6.43E-20
30003.5,9.35E-20
30003.6,9.41E-20
30003.7,8.64E-20
30003.8,7.19E-20
30003.9,6.65E-20
30004,1.05E-19
30004.1,1.43E-19
30004.2,1.43E-19
30004.3,1.61E-19
30004.4,1.89E-19
30004.5,2.70E-19
30004.6,3.35E-19
30004.7,3.45E-19
30004.8,3.48E-19
30004.9,3.66E-19
30005,3.49E-19
30005.1,2.94E-19
30005.2,2.90E-19
30005.3,3.04E-19
30005.4,3.06E-19
30005.5,3.88E-19
30005.6,4.93E-19
30005.7,5.69E-19
30005.8,5.99E-19
30005.9,6.07E-19
30006,6.11E-19
30006.1,5.35E-19
30006.2,4.19E-19
30006.3,2.98E-19
30006.4,2.31E-19
30006.5,1.99E-19
30006.6,1.46E-19
30006.7,1.49E-19
30006.8,1.81E-19
30006.9,2.01E-19
30007,2.26E-19
30007.1,2.13E-19
30007.2,1.88E-19
30007.3,2.07E-19
30007.4,2.44E-19
30007.5,2.69E-19
30007.6,2.46E-19
30007.7,2.31E-19
30007.8,2.15E-19
30007.9,1.57E-19
30008,1.45E-19
30008.1,1.59E-19
30008.2,1.32E-19
30008.3,7.93E-20
30008.4,6.59E-20
30008.5,8.47E-20
30008.6,8.17E-20
30008.7,6.30E-20
30008.8,5.31E-20
30008.9,6.31E-20
30009,6.15E-20
30009.1,5.20E-20
30009.2,4.80E-20
30009.3,3.64E-20
30009.4,2.12E-20
30009.5,1.54E-20
30009.6,1.52E-20
30009.7,1.70E-20
30009.8,2.65E-20
30009.9,3.64E-20
30010,3.41E-20
30010.1,2.64E-20
30010.2,1.37E-20
30010.3,6.23E-21
30010.4,9.21E-21
