r,1,2,3,4,5,6
0.85,7.61E+04,1.05E+05,1.45E+05,1.35E+05,1.66E+05,8.30E+05
0.85,7.39E+04,1.03E+05,1.43E+05,1.33E+05,1.64E+05,8.05E+05
0.86,7.18E+04,1.01E+05,1.41E+05,1.31E+05,1.62E+05,7.81E+05
0.86,6.97E+04,9.91E+04,1.39E+05,1.29E+05,1.60E+05,7.57E+05
0.87,6.77E+04,9.72E+04,1.37E+05,1.27E+05,1.58E+05,7.35E+05
0.87,6.57E+04,9.54E+04,1.35E+05,1.25E+05,1.56E+05,7.13E+05
0.88,6.38E+04,9.36E+04,1.33E+05,1.23E+05,1.54E+05,6.92E+05
0.88,6.19E+04,9.19E+04,1.31E+05,1.21E+05,1.52E+05,6.72E+05
0.89,6.01E+04,9.02E+04,1.30E+05,1.19E+05,1.50E+05,6.52E+05
0.89,5.83E+04,8.85E+04,1.28E+05,1.17E+05,1.48E+05,6.34E+05
0.90,5.65E+04,8.69E+04,1.26E+05,1.15E+05,1.46E+05,6.16E+05
0.90,5.48E+04,8.53E+04,1.25E+05,1.14E+05,1.44E+05,5.98E+05
0.91,5.31E+04,8.38E+04,1.23E+05,1.12E+05,1.43E+05,5.81E+05
0.91,5.15E+04,8.23E+04,1.21E+05,1.10E+05,1.41E+05,5.65E+05
0.91,4.99E+04,8.08E+04,1.20E+05,1.09E+05,1.39E+05,5.49E+05
0.92,4.84E+04,7.94E+04,1.18E+05,1.07E+05,1.38E+05,5.34E+05
0.92,4.69E+04,7.80E+04,1.17E+05,1.06E+05,1.36E+05,5.20E+05
0.93,4.54E+04,7.66E+04,1.16E+05,1.04E+05,1.35E+05,5.05E+05
0.93,4.40E+04,7.53E+04,1.14E+05,1.03E+05,1.33E+05,4.92E+05
0.94,4.26E+04,7.40E+04,1.13E+05,1.02E+05,1.32E+05,4.79E+05
0.94,4.12E+04,7.28E+04,1.11E+05,1.00E+05,1.31E+05,4.66E+05
0.95,3.99E+04,7.15E+04,1.10E+05,9.90E+04,1.30E+05,4.54E+05
0.95,3.86E+04,7.03E+04,1.09E+05,9.77E+04,1.28E+05,4.42E+05
0.96,3.73E+04,6.92E+04,1.08E+05,9.65E+04,1.27E+05,4.30E+05
0.96,3.61E+04,6.80E+04,1.06E+05,9.53E+04,1.26E+05,4.19E+05
0.97,3.49E+04,6.69E+04,1.05E+05,9.42E+04,1.25E+05,4.08E+05
0.97,3.37E+04,6.58E+04,1.04E+05,9.31E+04,1.24E+05,3.98E+05
0.97,3.26E+04,6.47E+04,1.03E+05,9.20E+04,1.23E+05,3.88E+05
0.98,3.15E+04,6.37E+04,1.02E+05,9.09E+04,1.22E+05,3.78E+05
0.98,3.04E+04,6.27E+04,1.01E+05,8.99E+04,1.21E+05,3.69E+05
0.99,2.94E+04,6.17E+04,9.97E+04,8.89E+04,1.20E+05,3.60E+05
0.99,2.84E+04,6.08E+04,9.87E+04,8.79E+04,1.19E+05,3.51E+05
1.00,2.74E+04,5.98E+04,9.77E+04,8.69E+04,1.18E+05,3.42E+05
1.00,2.64E+04,5.89E+04,9.67E+04,8.60E+04,1.17E+05,3.34E+05
1.01,2.55E+04,5.80E+04,9.57E+04,8.50E+04,1.16E+05,3.26E+05
1.01,2.45E+04,5.72E+04,9.47E+04,8.41E+04,1.15E+05,3.18E+05
1.02,2.37E+04,5.63E+04,9.38E+04,8.32E+04,1.14E+05,3.11E+05
1.02,2.28E+04,5.55E+04,9.29E+04,8.23E+04,1.13E+05,3.04E+05
1.03,2.20E+04,5.47E+04,9.20E+04,8.15E+04,1.13E+05,2.97E+05
1.03,2.11E+04,5.39E+04,9.11E+04,8.06E+04,1.12E+05,2.90E+05
1.03,2.03E+04,5.31E+04,9.03E+04,7.98E+04,1.11E+05,2.83E+05
1.04,1.96E+04,5.24E+04,8.94E+04,7.89E+04,1.10E+05,2.77E+05
1.04,1.88E+04,5.17E+04,8.86E+04,7.81E+04,1.09E+05,2.71E+05
1.05,1.81E+04,5.10E+04,8.78E+04,7.73E+04,1.09E+05,2.65E+05
1.05,1.74E+04,5.03E+04,8.70E+04,7.66E+04,1.08E+05,2.59E+05
1.06,1.67E+04,4.96E+04,8.63E+04,7.58E+04,1.07E+05,2.53E+05
1.06,1.60E+04,4.90E+04,8.55E+04,7.50E+04,1.07E+05,2.48E+05
1.07,1.54E+04,4.84E+04,8.48E+04,7.43E+04,1.06E+05,2.42E+05
1.07,1.48E+04,4.78E+04,8.40E+04,7.36E+04,1.05E+05,2.37E+05
1.08,1.41E+04,4.72E+04,8.33E+04,7.29E+04,1.05E+05,2.32E+05
1.08,1.36E+04,4.66E+04,8.26E+04,7.22E+04,1.04E+05,2.27E+05
1.09,1.30E+04,4.60E+04,8.19E+04,7.15E+04,1.03E+05,2.22E+05
1.09,1.24E+04,4.55E+04,8.13E+04,7.08E+04,1.03E+05,2.18E+05
1.09,1.19E+04,4.49E+04,8.06E+04,7.02E+04,1.02E+05,2.13E+05
1.10,1.14E+04,4.44E+04,8.00E+04,6.95E+04,1.01E+05,2.09E+05
1.10,1.09E+04,4.39E+04,7.93E+04,6.89E+04,1.01E+05,2.05E+05
1.11,1.04E+04,4.34E+04,7.87E+04,6.83E+04,1.00E+05,2.01E+05
1.11,9.89E+03,4.29E+04,7.81E+04,6.77E+04,9.97E+04,1.97E+05
1.12,9.43E+03,4.25E+04,7.75E+04,6.71E+04,9.92E+04,1.93E+05
1.12,8.99E+03,4.20E+04,7.69E+04,6.65E+04,9.86E+04,1.89E+05
1.13,8.56E+03,4.16E+04,7.63E+04,6.59E+04,9.81E+04,1.86E+05
1.13,8.14E+03,4.12E+04,7.57E+04,6.54E+04,9.76E+04,1.82E+05
1.14,7.74E+03,4.08E+04,7.52E+04,6.48E+04,9.71E+04,1.79E+05
1.14,7.35E+03,4.04E+04,7.46E+04,6.43E+04,9.65E+04,1.75E+05
1.15,6.98E+03,4.00E+04,7.41E+04,6.37E+04,9.60E+04,1.72E+05
1.15,6.62E+03,3.96E+04,7.35E+04,6.32E+04,9.55E+04,1.69E+05
1.15,6.27E+03,3.93E+04,7.30E+04,6.27E+04,9.50E+04,1.66E+05
1.16,5.93E+03,3.89E+04,7.25E+04,6.22E+04,9.46E+04,1.63E+05
1.16,5.61E+03,3.86E+04,7.20E+04,6.17E+04,9.41E+04,1.60E+05
1.17,5.29E+03,3.82E+04,7.15E+04,6.12E+04,9.36E+04,1.57E+05
1.17,4.99E+03,3.79E+04,7.10E+04,6.08E+04,9.31E+04,1.54E+05
1.18,4.70E+03,3.76E+04,7.05E+04,6.03E+04,9.27E+04,1.52E+05
1.18,4.42E+03,3.73E+04,7.00E+04,5.98E+04,9.22E+04,1.49E+05
1.19,4.16E+03,3.70E+04,6.95E+04,5.94E+04,9.17E+04,1.47E+05
1.19,3.90E+03,3.67E+04,6.91E+04,5.90E+04,9.13E+04,1.44E+05
