wavenumber,cross_sec
30000,7.34E-35
30000.1,2.13E-34
30000.2,1.80E-34
30000.3,4.40E-35
30000.4,3.64E-36
30000.5,7.39E-35
30000.6,2.42E-33
30000.7,2.20E-32
30000.8,5.72E-32
30000.9,4.31E-32
30001,1.03E-32
30001.1,2.15E-32
30001.2,1.39E-31
30001.3,2.65E-31
30001.4,1.46E-31
30001.5,2.33E-32
30001.6,1.05E-33
30001.7,5.46E-34
30001.8,6.75E-33
30001.9,7.69E-32
30002,4.93E-30
30002.1,1.21E-28
30002.2,8.34E-28
30002.3,1.65E-27
30002.4,9.48E-28
30002.5,1.57E-28
30002.6,7.25E-30
30002.7,9.12E-32
30002.8,3.05E-34
30002.9,2.85E-34
30003,1.67E-32
30003.1,2.67E-31
30003.2,1.21E-30
30003.3,1.57E-30
30003.4,7.18E-31
30003.5,4.30E-30
30003.6,4.12E-29
30003.7,1.18E-28
30003.8,1.11E-28
30003.9,8.89E-29
30004,1.02E-28
30004.1,4.54E-29
30004.2,1.34E-29
30004.3,1.59E-26
30004.4,8.62E-24
30004.5,1.23E-21
30004.6,4.72E-20
30004.7,5.00E-19
30004.8,1.51E-18
30004.9,1.31E-18
30005,3.32E-19
30005.1,2.37E-20
30005.2,4.65E-22
30005.3,2.43E-24
30005.4,2.05E-26
30005.5,1.03E-23
30005.6,1.63E-21
30005.7,6.92E-20
30005.8,8.07E-19
30005.9,2.67E-18
30006,2.56E-18
30006.1,7.12E-19
30006.2,5.61E-20
30006.3,1.21E-21
30006.4,7.02E-24
30006.5,1.07E-26
30006.6,4.18E-30
30006.7,3.82E-34
30006.8,8.87E-37
30006.9,2.29E-31
30007,8.31E-28
30007.1,7.77E-25
30007.2,1.90E-22
30007.3,1.23E-20
30007.4,2.18E-19
30007.5,1.09E-18
30007.6,1.56E-18
30007.7,6.50E-19
30007.8,7.74E-20
30007.9,2.56E-21
30008,2.29E-23
30008.1,5.37E-26
30008.2,3.28E-29
30008.3,5.20E-33
30008.4,2.12E-41
30008.5,7.85E-38
30008.6,7.49E-35
30008.7,1.86E-32
30008.8,1.23E-30
30008.9,2.23E-29
30009,1.14E-28
30009.1,1.92E-28
30009.2,1.93E-28
30009.3,1.67E-28
30009.4,6.06E-29
30009.5,7.01E-30
30009.6,7.86E-31
30009.7,9.75E-31
30009.8,5.37E-31
30009.9,9.84E-32
30010,1.96E-31
30010.1,8.20E-31
30010.2,1.03E-30
30010.3,3.84E-31
30010.4,4.12E-32
30010.5,1.24E-33
30010.6,1.01E-35
30010.7,2.18E-38
30010.8,1.23E-41
30010.9,1.78E-45
30011,0
30011.1,0
30011.2,0
30011.3,0
30011.4,0
30011.5,0
30011.6,0
30011.7,0
30011.8,0
30011.9,0
30012,0
30012.1,0
30012.2,0
30012.3,0
30012.4,0
30012.5,3.40E-43
30012.6,3.02E-39
30012.7,6.83E-36
30012.8,4.01E-33
30012.9,6.20E-31
30013,2.57E-29
30013.1,2.94E-28
30013.2,9.58E-28
30013.3,9.05E-28
30013.4,2.48E-28
30013.5,4.07E-29
30013.6,1.38E-26
30013.7,2.34E-24
30013.8,1.06E-22
30013.9,1.32E-21
30014,4.65E-21
30014.1,4.75E-21
30014.2,1.41E-21
30014.3,1.18E-22
30014.4,2.74E-24
30014.5,1.70E-26
30014.6,2.75E-29
30014.7,1.16E-32
30014.8,6.18E-34
30014.9,2.27E-30
30015,2.15E-27
30015.1,5.30E-25
30015.2,3.48E-23
30015.3,6.24E-22
30015.4,3.14E-21
30015.5,4.56E-21
30015.6,1.92E-21
30015.7,2.32E-22
30015.8,1.71E-23
30015.9,2.34E-22
30016,1.63E-21
30016.1,3.26E-21
30016.2,1.90E-21
30016.3,3.17E-22
30016.4,1.48E-23
30016.5,1.91E-25
30016.6,6.02E-25
30016.7,3.39E-23
30016.8,5.22E-22
30016.9,2.27E-21
30017,2.85E-21
30017.1,1.04E-21
30017.2,1.08E-22
30017.3,3.11E-24
30017.4,2.41E-26
30017.5,5.17E-29
30017.6,6.25E-31
30017.7,6.34E-32
30017.8,3.43E-31
30017.9,1.38E-30
30018,2.03E-30
30018.1,1.45E-30
30018.2,5.05E-31
30018.3,2.17E-31
30018.4,6.45E-31
30018.5,9.43E-31
30018.6,1.70E-30
30018.7,4.03E-30
30018.8,3.30E-30
30018.9,7.87E-31
30019,5.30E-32
30019.1,1.28E-31
30019.2,4.73E-28
30019.3,4.70E-25
30019.4,1.26E-22
30019.5,9.13E-21
30019.6,1.85E-19
30019.7,1.06E-18
30019.8,1.79E-18
30019.9,8.84E-19
30020,1.26E-19
30020.1,5.06E-21
30020.2,5.51E-23
30020.3,1.59E-25
30020.4,1.20E-28
30020.5,1.21E-29
30020.6,2.29E-26
30020.7,1.15E-23
30020.8,1.51E-21
30020.9,5.37E-20
30021,5.26E-19
30021.1,1.47E-18
30021.2,1.19E-18
30021.3,2.79E-19
30021.4,1.84E-20
30021.5,3.62E-22
30021.6,3.23E-21
30021.7,1.02E-19
30021.8,8.91E-19
30021.9,2.24E-18
30022,1.64E-18
30022.1,3.46E-19
30022.2,2.07E-20
30022.3,3.37E-22
30022.4,1.46E-24
30022.5,1.66E-27
30022.6,6.05E-31
30022.7,3.59E-30
30022.8,2.99E-29
30022.9,7.12E-29
30023,4.94E-29
30023.1,1.24E-29
30023.2,2.02E-29
30023.3,5.71E-29
30023.4,9.05E-29
30023.5,6.95E-29
30023.6,5.24E-29
30023.7,5.69E-26
30023.8,2.46E-23
30023.9,2.81E-21
30024,8.65E-20
30024.1,7.39E-19
30024.2,1.80E-18
30024.3,1.29E-18
30024.4,2.98E-19
30024.5,5.14E-20
30024.6,1.06E-20
30024.7,8.32E-22
30024.8,1.84E-23
30024.9,1.09E-25
30025,1.96E-28
30025.1,1.09E-29
30025.2,1.55E-30
30025.3,7.43E-32
30025.4,4.11E-33
30025.5,3.75E-34
30025.6,1.40E-35
30025.7,4.63E-34
30025.8,2.35E-32
30025.9,3.27E-31
30026,1.29E-30
30026.1,1.48E-30
30026.2,4.92E-31
30026.3,5.80E-32
30026.4,1.06E-30
30026.5,2.72E-29
30026.6,1.54E-27
30026.7,1.19E-24
30026.8,2.75E-22
30026.9,1.68E-20
30027,2.82E-19
30027.1,1.33E-18
30027.2,1.81E-18
30027.3,7.14E-19
30027.4,8.06E-20
30027.5,2.52E-21
30027.6,2.12E-23
30027.7,4.71E-26
30027.8,7.38E-29
30027.9,1.66E-28
30028,6.78E-28
30028.1,1.02E-27
30028.2,4.91E-28
30028.3,7.08E-29
30028.4,2.91E-30
30028.5,3.37E-32
30028.6,1.85E-33
30028.7,9.00E-34
30028.8,1.33E-34
30028.9,7.22E-36
30029,1.34E-33
30029.1,2.63E-31
30029.2,1.38E-29
30029.3,1.99E-28
30029.4,8.08E-28
30029.5,9.50E-28
30029.6,3.24E-28
30029.7,3.15E-29
30029.8,8.46E-31
30029.9,6.11E-33
30030,1.17E-35
30030.1,5.96E-39
30030.2,7.90E-43
30030.3,1.51E-47
30030.4,0
30030.5,0
30030.6,0
30030.7,0
30030.8,0
30030.9,0
30031,0
30031.1,0
30031.2,0
30031.3,0
30031.4,0
30031.5,0
30031.6,0
30031.7,0
30031.8,0
30031.9,0
30032,0
30032.1,4.07E-34
30032.2,2.50E-30
30032.3,3.87E-27
30032.4,1.56E-24
30032.5,1.66E-22
30032.6,4.76E-21
30032.7,3.79E-20
30032.8,8.65E-20
30032.9,5.73E-20
30033,1.09E-20
30033.1,5.87E-22
30033.2,8.58E-24
30033.3,3.33E-26
30033.4,1.88E-28
30033.5,1.23E-25
30033.6,2.54E-23
30033.7,1.41E-21
30033.8,2.13E-20
30033.9,9.10E-20
30034,1.12E-19
30034.1,4.03E-20
30034.2,4.11E-21
30034.3,1.16E-22
30034.4,8.82E-25
30034.5,4.14E-26
30034.6,1.76E-23
30034.7,2.05E-21
30034.8,6.44E-20
30034.9,5.62E-19
30035,1.40E-18
30035.1,1.01E-18
30035.2,2.16E-19
30035.3,1.25E-19
30035.4,7.23E-19
30035.5,1.33E-18
30035.6,7.15E-19
30035.7,1.10E-19
30035.8,4.73E-21
30035.9,5.52E-23
30036,1.70E-25
30036.1,1.38E-28
30036.2,5.97E-31
30036.3,5.51E-32
30036.4,1.48E-33
30036.5,1.06E-35
30036.6,2.01E-38
30036.7,9.83E-42
30036.8,1.13E-45
30036.9,0
30037,1.39E-48
30037.1,2.81E-42
30037.2,1.35E-38
30037.3,5.38E-34
30037.4,3.99E-30
30037.5,9.63E-27
30037.6,6.02E-24
30037.7,9.87E-22
30037.8,4.33E-20
30037.9,5.23E-19
30038,1.79E-18
30038.1,1.78E-18
30038.2,5.11E-19
30038.3,4.17E-20
30038.4,9.34E-22
30038.5,5.60E-24
30038.6,8.81E-27
30038.7,3.59E-30
30038.8,2.60E-34
30038.9,6.80E-39
30039,7.72E-37
30039.1,2.36E-35
30039.2,2.00E-34
30039.3,4.86E-34
30039.4,3.43E-34
30039.5,6.97E-35
30039.6,4.07E-36
30039.7,1.40E-35
30039.8,6.50E-34
30039.9,8.30E-33
30040,6.35E-32
30040.1,1.66E-28
30040.2,2.12E-25
30040.3,7.06E-23
30040.4,6.22E-21
30040.5,1.49E-19
30040.6,9.90E-19
30040.7,1.89E-18
30040.8,1.05E-18
30040.9,1.68E-19
30041,7.52E-21
30041.1,9.12E-23
30041.2,2.93E-25
30041.3,2.45E-28
30041.4,5.26E-32
30041.5,0
30041.6,0
30041.7,0
30041.8,0
30041.9,0
30042,3.14E-41
30042.1,1.61E-37
30042.2,2.14E-34
30042.3,7.38E-32
30042.4,6.74E-30
30042.5,1.67E-28
30042.6,1.47E-27
30042.7,1.19E-25
30042.8,1.14E-23
30042.9,3.03E-22
30043,2.24E-21
30043.1,4.74E-21
30043.2,2.92E-21
30043.3,5.16E-22
30043.4,2.56E-23
30043.5,3.46E-25
30043.6,9.79E-27
30043.7,1.91E-24
30043.8,1.14E-22
30043.9,1.85E-21
30044,8.45E-21
30044.1,1.12E-20
30044.2,4.29E-21
30044.3,4.70E-22
30044.4,1.43E-23
30044.5,1.17E-25
30044.6,2.51E-28
30044.7,1.54E-31
30044.8,1.36E-31
30044.9,3.92E-31
30045,3.58E-31
30045.1,1.07E-31
30045.2,1.08E-32
30045.3,2.64E-32
30045.4,7.70E-31
30045.5,6.33E-30
30045.6,1.49E-29
30045.7,1.02E-29
30045.8,2.02E-30
30045.9,1.12E-29
30046,8.56E-27
30046.1,1.72E-24
30046.2,9.26E-23
30046.3,1.36E-21
30046.4,5.66E-21
30046.5,6.80E-21
30046.6,2.37E-21
30046.7,2.68E-22
30046.8,9.42E-23
30046.9,6.87E-23
30047,1.55E-23
30047.1,9.92E-25
30047.2,1.73E-26
30047.3,8.21E-29
30047.4,2.74E-30
30047.5,1.26E-30
30047.6,1.72E-31
30047.7,6.54E-33
30047.8,5.14E-34
30047.9,3.13E-32
30048,5.96E-31
30048.1,3.20E-30
30048.2,5.06E-30
30048.3,3.33E-30
30048.4,3.03E-29
30048.5,4.06E-28
30048.6,1.66E-26
30048.7,8.76E-24
30048.8,1.34E-21
30048.9,5.50E-20
30049,6.21E-19
30049.1,1.99E-18
30049.2,1.85E-18
30049.3,4.99E-19
30049.4,3.81E-20
30049.5,7.98E-22
30049.6,4.47E-24
30049.7,6.55E-27
30049.8,2.55E-30
30049.9,9.53E-34
30050,5.82E-35
30050.1,6.04E-33
30050.2,1.79E-31
30050.3,1.56E-30
30050.4,4.47E-30
30050.5,5.61E-30
30050.6,4.24E-29
30050.7,4.64E-28
30050.8,1.51E-27
30050.9,1.73E-27
30051,3.56E-25
30051.1,1.06E-22
30051.2,8.31E-21
30051.3,1.78E-19
30051.4,1.07E-18
30051.5,1.92E-18
30051.6,1.12E-18
30051.7,2.59E-19
30051.8,2.82E-20
30051.9,1.21E-21
30052,1.59E-23
30052.1,5.72E-26
30052.2,8.65E-28
30052.3,1.98E-25
30052.4,1.28E-23
30052.5,2.26E-22
30052.6,1.12E-21
30052.7,1.61E-21
30052.8,6.69E-22
30052.9,7.95E-23
30053,2.63E-24
30053.1,2.29E-24
30053.2,2.03E-22
30053.3,4.93E-21
30053.4,3.33E-20
30053.5,6.47E-20
30053.6,3.65E-20
30053.7,5.92E-21
30053.8,2.69E-22
30053.9,3.31E-24
30054,1.08E-26
30054.1,1.12E-29
30054.2,8.30E-31
30054.3,3.86E-31
30054.4,5.65E-30
30054.5,3.14E-29
30054.6,5.11E-29
30054.7,2.48E-29
30054.8,5.20E-30
30054.9,2.78E-30
30055,2.55E-30
30055.1,2.30E-30
30055.2,9.61E-30
30055.3,5.34E-27
30055.4,8.52E-25
30055.5,3.64E-23
30055.6,4.28E-22
30055.7,1.43E-21
30055.8,1.38E-21
30055.9,3.87E-22
30056,3.07E-23
30056.1,6.70E-25
30056.2,3.91E-27
30056.3,5.98E-30
30056.4,2.36E-33
30056.5,2.05E-37
30056.6,0
30056.7,0
30056.8,0
30056.9,2.79E-31
30057,1.04E-27
30057.1,9.98E-25
30057.2,2.50E-22
30057.3,1.67E-20
30057.4,3.03E-19
30057.5,1.54E-18
30057.6,2.27E-18
30057.7,9.71E-19
30057.8,1.19E-19
30057.9,4.03E-21
30058,3.69E-23
30058.1,8.90E-26
30058.2,5.58E-29
30058.3,9.00E-33
30058.4,0
30058.5,7.65E-44
30058.6,3.81E-40
30058.7,4.91E-37
30058.8,1.64E-34
30058.9,1.85E-32
30059,2.61E-29
30059.1,4.42E-26
30059.2,1.97E-23
30059.3,2.32E-21
30059.4,7.32E-20
30059.5,6.42E-19
30059.6,1.61E-18
30059.7,1.17E-18
30059.8,2.46E-19
30059.9,1.45E-20
30060,2.34E-22
30060.1,1.01E-24
30060.2,1.13E-27
30060.3,3.26E-31
