wavenumber,cross_sec
30000.00,1.33E-21
30000.10,2.67E-21
30000.20,4.21E-21
30000.30,4.93E-21
30000.40,7.91E-21
30000.50,1.04E-20
30000.60,1.06E-20
30000.70,1.27E-20
30000.80,1.24E-20
30000.90,9.13E-21
30001.00,5.11E-21
30001.10,6.50E-21
30001.20,1.24E-20
30001.30,1.45E-20
30001.40,1.12E-20
30001.50,5.01E-21
30001.60,2.02E-21
30001.70,1.70E-21
30001.80,4.92E-21
30001.90,1.18E-20
30002.00,1.44E-20
30002.10,1.05E-20
30002.20,6.45E-21
30002.30,4.93E-21
30002.40,4.66E-21
30002.50,6.89E-21
30002.60,8.10E-21
30002.70,9.68E-21
30002.80,8.69E-21
30002.90,5.64E-21
30003.00,4.06E-21
30003.10,2.46E-21
30003.20,1.80E-21
30003.30,4.37E-21
30003.40,1.12E-20
30003.50,1.84E-20
30003.60,1.75E-20
30003.70,1.38E-20
30003.80,2.69E-20
30003.90,3.73E-20
30004.00,3.68E-20
30004.10,3.51E-20
30004.20,4.11E-20
30004.30,4.75E-20
30004.40,4.95E-20
30004.50,5.11E-20
30004.60,5.66E-20
30004.70,7.63E-20
30004.80,1.01E-19
30004.90,1.06E-19
30005.00,1.07E-19
30005.10,1.13E-19
30005.20,1.17E-19
30005.30,1.14E-19
30005.40,1.18E-19
30005.50,1.17E-19
30005.60,1.31E-19
30005.70,1.34E-19
30005.80,1.43E-19
30005.90,1.65E-19
30006.00,1.68E-19
30006.10,1.85E-19
30006.20,1.93E-19
30006.30,1.67E-19
30006.40,1.41E-19
30006.50,1.13E-19
30006.60,9.48E-20
30006.70,7.99E-20
30006.80,6.71E-20
30006.90,6.37E-20
30007.00,7.37E-20
30007.10,9.23E-20
30007.20,8.30E-20
30007.30,6.05E-20
30007.40,6.15E-20
30007.50,8.02E-20
30007.60,9.90E-20
30007.70,9.53E-20
30007.80,8.39E-20
30007.90,7.91E-20
30008.00,6.82E-20
30008.10,5.29E-20
30008.20,4.83E-20
30008.30,4.29E-20
30008.40,3.85E-20
30008.50,3.19E-20
30008.60,3.01E-20
30008.70,2.14E-20
30008.80,1.76E-20
30008.90,3.14E-20
30009.00,3.46E-20
30009.10,2.19E-20
30009.20,1.98E-20
30009.30,2.29E-20
30009.40,2.19E-20
30009.50,2.36E-20
30009.60,2.44E-20
30009.70,2.13E-20
30009.80,1.47E-20
30009.90,1.18E-20
30010.00,1.11E-20
30010.10,7.41E-21
30010.20,4.83E-21
30010.30,4.02E-21
30010.40,3.08E-21
30010.50,4.18E-21
30010.60,4.96E-21
30010.70,4.73E-21
30010.80,4.94E-21
30010.90,3.32E-21
30011.00,2.83E-21
30011.10,3.53E-21
30011.20,4.12E-21
30011.30,5.91E-21
30011.40,6.13E-21
30011.50,3.88E-21
30011.60,2.69E-21
30011.70,4.08E-21
30011.80,7.60E-21
30011.90,8.40E-21
30012.00,8.41E-21
30012.10,1.03E-20
30012.20,7.62E-21
30012.30,4.85E-21
30012.40,5.89E-21
30012.50,6.06E-21
30012.60,5.82E-21
30012.70,5.03E-21
30012.80,5.53E-21
30012.90,5.44E-21
30013.00,3.96E-21
30013.10,2.58E-21
30013.20,1.92E-21
30013.30,1.72E-21
30013.40,2.93E-21
30013.50,4.41E-21
30013.60,4.77E-21
30013.70,4.60E-21
30013.80,3.59E-21
30013.90,4.13E-21
30014.00,5.40E-21
30014.10,6.50E-21
30014.20,5.37E-21
30014.30,2.37E-21
30014.40,1.51E-21
30014.50,2.33E-21
30014.60,4.87E-21
30014.70,7.33E-21
30014.80,6.76E-21
30014.90,5.80E-21
30015.00,6.34E-21
30015.10,7.13E-21
30015.20,6.06E-21
30015.30,4.76E-21
30015.40,5.17E-21
30015.50,5.77E-21
30015.60,4.81E-21
30015.70,4.67E-21
30015.80,5.39E-21
30015.90,6.45E-21
30016.00,5.13E-21
30016.10,3.65E-21
30016.20,3.63E-21
30016.30,4.41E-21
30016.40,5.59E-21
30016.50,9.27E-21
30016.60,1.12E-20
30016.70,7.67E-21
30016.80,4.90E-21
30016.90,3.40E-21
30017.00,3.39E-21
30017.10,6.98E-21
30017.20,9.44E-21
30017.30,8.81E-21
30017.40,8.88E-21
30017.50,1.32E-20
30017.60,1.41E-20
30017.70,1.23E-20
30017.80,1.42E-20
30017.90,1.38E-20
30018.00,1.56E-20
30018.10,1.66E-20
30018.20,1.27E-20
30018.30,9.54E-21
30018.40,1.18E-20
30018.50,1.86E-20
30018.60,2.10E-20
30018.70,1.89E-20
30018.80,1.97E-20
30018.90,2.19E-20
30019.00,2.42E-20
30019.10,2.50E-20
30019.20,3.04E-20
30019.30,3.95E-20
30019.40,4.62E-20
30019.50,5.32E-20
30019.60,6.87E-20
30019.70,8.82E-20
30019.80,9.58E-20
30019.90,9.67E-20
30020.00,1.09E-19
30020.10,1.13E-19
30020.20,9.40E-20
30020.30,7.45E-20
30020.40,6.87E-20
30020.50,7.50E-20
30020.60,7.86E-20
30020.70,7.81E-20
30020.80,8.42E-20
30020.90,9.62E-20
30021.00,9.77E-20
30021.10,1.14E-19
30021.20,1.40E-19
30021.30,1.38E-19
30021.40,1.30E-19
30021.50,1.24E-19
30021.60,1.27E-19
30021.70,1.34E-19
30021.80,1.41E-19
30021.90,1.52E-19
30022.00,1.56E-19
30022.10,1.48E-19
30022.20,1.35E-19
30022.30,1.16E-19
30022.40,1.06E-19
30022.50,9.57E-20
30022.60,7.59E-20
30022.70,6.35E-20
30022.80,5.85E-20
30022.90,5.29E-20
30023.00,4.81E-20
30023.10,4.53E-20
30023.20,4.39E-20
30023.30,4.40E-20
30023.40,5.17E-20
30023.50,5.39E-20
30023.60,5.23E-20
30023.70,5.05E-20
30023.80,4.65E-20
30023.90,5.53E-20
30024.00,7.00E-20
30024.10,7.79E-20
30024.20,7.82E-20
30024.30,9.21E-20
30024.40,1.01E-19
30024.50,9.92E-20
30024.60,9.61E-20
30024.70,8.31E-20
30024.80,6.35E-20
30024.90,5.43E-20
30025.00,5.11E-20
30025.10,5.09E-20
30025.20,5.49E-20
30025.30,4.74E-20
30025.40,3.49E-20
30025.50,2.65E-20
30025.60,2.58E-20
30025.70,3.21E-20
30025.80,2.96E-20
30025.90,2.14E-20
30026.00,1.75E-20
30026.10,2.25E-20
30026.20,3.11E-20
30026.30,3.44E-20
30026.40,2.57E-20
30026.50,2.09E-20
30026.60,3.36E-20
30026.70,4.49E-20
30026.80,4.99E-20
30026.90,5.69E-20
30027.00,6.93E-20
30027.10,8.48E-20
30027.20,9.32E-20
30027.30,9.10E-20
30027.40,9.01E-20
30027.50,9.05E-20
30027.60,8.90E-20
30027.70,7.78E-20
30027.80,6.16E-20
30027.90,4.99E-20
30028.00,4.05E-20
30028.10,3.44E-20
30028.20,3.49E-20
30028.30,3.29E-20
30028.40,2.65E-20
30028.50,2.06E-20
30028.60,1.89E-20
30028.70,2.00E-20
30028.80,2.02E-20
30028.90,1.83E-20
30029.00,1.63E-20
30029.10,1.81E-20
30029.20,1.96E-20
30029.30,1.53E-20
30029.40,1.02E-20
30029.50,1.10E-20
30029.60,1.75E-20
30029.70,1.85E-20
30029.80,1.28E-20
30029.90,1.15E-20
30030.00,9.54E-21
30030.10,5.47E-21
30030.20,4.15E-21
30030.30,4.53E-21
30030.40,6.04E-21
30030.50,8.71E-21
30030.60,8.38E-21
30030.70,5.80E-21
30030.80,5.96E-21
30030.90,5.97E-21
30031.00,6.85E-21
30031.10,9.02E-21
30031.20,9.22E-21
30031.30,1.01E-20
30031.40,1.08E-20
30031.50,6.82E-21
30031.60,4.59E-21
30031.70,7.22E-21
30031.80,7.97E-21
30031.90,4.63E-21
30032.00,3.11E-21
30032.10,4.86E-21
30032.20,7.45E-21
30032.30,1.03E-20
30032.40,1.25E-20
30032.50,1.09E-20
30032.60,7.92E-21
30032.70,8.15E-21
30032.80,1.15E-20
30032.90,1.50E-20
30033.00,1.62E-20
30033.10,1.74E-20
30033.20,1.77E-20
30033.30,1.42E-20
30033.40,1.24E-20
30033.50,1.46E-20
30033.60,1.58E-20
30033.70,1.75E-20
30033.80,1.82E-20
30033.90,1.98E-20
30034.00,2.33E-20
30034.10,2.20E-20
30034.20,1.96E-20
30034.30,2.40E-20
30034.40,3.59E-20
30034.50,4.68E-20
30034.60,4.84E-20
30034.70,5.06E-20
30034.80,7.15E-20
30034.90,9.31E-20
30035.00,9.91E-20
30035.10,1.04E-19
30035.20,1.20E-19
30035.30,1.38E-19
30035.40,1.35E-19
30035.50,1.23E-19
30035.60,1.14E-19
30035.70,1.12E-19
30035.80,1.04E-19
30035.90,8.63E-20
30036.00,7.36E-20
30036.10,6.28E-20
30036.20,5.41E-20
30036.30,4.65E-20
30036.40,4.31E-20
30036.50,4.23E-20
30036.60,3.64E-20
30036.70,3.10E-20
30036.80,2.92E-20
30036.90,3.25E-20
30037.00,3.08E-20
30037.10,2.83E-20
30037.20,3.62E-20
30037.30,5.35E-20
30037.40,6.34E-20
30037.50,5.38E-20
30037.60,4.67E-20
30037.70,5.65E-20
30037.80,6.96E-20
30037.90,8.46E-20
30038.00,9.36E-20
30038.10,1.06E-19
30038.20,1.14E-19
30038.30,1.19E-19
30038.40,1.11E-19
30038.50,9.07E-20
30038.60,7.70E-20
30038.70,5.45E-20
30038.80,4.80E-20
30038.90,4.59E-20
30039.00,2.86E-20
30039.10,3.04E-20
30039.20,4.40E-20
30039.30,4.72E-20
30039.40,4.00E-20
30039.50,2.75E-20
30039.60,2.72E-20
30039.70,3.14E-20
30039.80,2.92E-20
30039.90,2.93E-20
30040.00,3.20E-20
30040.10,4.15E-20
30040.20,5.31E-20
30040.30,4.95E-20
30040.40,5.37E-20
30040.50,6.83E-20
30040.60,7.48E-20
30040.70,8.42E-20
30040.80,9.39E-20
30040.90,9.63E-20
30041.00,9.07E-20
30041.10,7.99E-20
30041.20,7.42E-20
30041.30,6.77E-20
30041.40,4.98E-20
30041.50,3.83E-20
30041.60,3.80E-20
30041.70,3.33E-20
30041.80,2.07E-20
30041.90,1.32E-20
30042.00,1.71E-20
30042.10,2.23E-20
30042.20,2.03E-20
30042.30,1.76E-20
30042.40,1.76E-20
30042.50,1.66E-20
30042.60,1.29E-20
30042.70,8.46E-21
30042.80,5.45E-21
30042.90,5.87E-21
30043.00,6.54E-21
30043.10,5.75E-21
30043.20,5.47E-21
30043.30,8.02E-21
30043.40,8.91E-21
30043.50,9.32E-21
30043.60,1.46E-20
30043.70,1.85E-20
30043.80,1.28E-20
30043.90,7.15E-21
30044.00,5.78E-21
30044.10,4.66E-21
30044.20,5.04E-21
30044.30,5.79E-21
30044.40,6.33E-21
30044.50,5.28E-21
30044.60,4.37E-21
30044.70,6.76E-21
30044.80,7.85E-21
30044.90,6.90E-21
30045.00,7.62E-21
30045.10,9.39E-21
30045.20,9.38E-21
30045.30,7.45E-21
30045.40,5.57E-21
30045.50,4.08E-21
30045.60,4.05E-21
30045.70,5.99E-21
30045.80,5.57E-21
30045.90,5.11E-21
30046.00,8.19E-21
30046.10,1.13E-20
30046.20,1.14E-20
30046.30,9.05E-21
30046.40,8.17E-21
30046.50,7.56E-21
30046.60,4.71E-21
30046.70,5.64E-21
30046.80,1.06E-20
30046.90,1.00E-20
30047.00,5.56E-21
30047.10,6.36E-21
30047.20,8.42E-21
30047.30,8.30E-21
30047.40,8.94E-21
30047.50,1.36E-20
30047.60,2.03E-20
30047.70,2.16E-20
30047.80,2.24E-20
30047.90,2.05E-20
30048.00,1.80E-20
30048.10,1.68E-20
30048.20,1.58E-20
30048.30,2.22E-20
30048.40,2.93E-20
30048.50,4.15E-20
30048.60,5.42E-20
30048.70,5.93E-20
30048.80,7.78E-20
30048.90,9.88E-20
30049.00,1.01E-19
30049.10,1.01E-19
30049.20,1.14E-19
30049.30,1.24E-19
30049.40,1.16E-19
30049.50,1.05E-19
30049.60,8.69E-20
30049.70,7.39E-20
30049.80,7.43E-20
30049.90,6.32E-20
30050.00,5.37E-20
30050.10,4.61E-20
30050.20,3.63E-20
30050.30,3.14E-20
30050.40,3.70E-20
30050.50,5.17E-20
30050.60,5.16E-20
30050.70,3.61E-20
30050.80,2.74E-20
30050.90,3.52E-20
30051.00,4.83E-20
30051.10,5.20E-20
30051.20,6.25E-20
30051.30,7.03E-20
30051.40,7.01E-20
30051.50,8.16E-20
30051.60,1.01E-19
30051.70,1.09E-19
30051.80,9.99E-20
30051.90,7.95E-20
30052.00,6.39E-20
30052.10,5.88E-20
30052.20,5.72E-20
30052.30,4.28E-20
30052.40,3.26E-20
30052.50,3.32E-20
30052.60,2.67E-20
30052.70,1.72E-20
30052.80,1.56E-20
30052.90,1.61E-20
30053.00,1.90E-20
30053.10,2.47E-20
30053.20,2.47E-20
30053.30,2.04E-20
30053.40,1.66E-20
30053.50,1.63E-20
30053.60,1.50E-20
30053.70,1.56E-20
30053.80,2.00E-20
30053.90,1.60E-20
30054.00,1.15E-20
30054.10,1.07E-20
30054.20,1.24E-20
30054.30,1.59E-20
30054.40,1.95E-20
30054.50,1.91E-20
30054.60,1.18E-20
30054.70,7.62E-21
30054.80,6.54E-21
30054.90,5.67E-21
30055.00,8.82E-21
30055.10,1.01E-20
30055.20,9.10E-21
30055.30,1.11E-20
30055.40,1.49E-20
30055.50,1.33E-20
30055.60,9.44E-21
30055.70,9.52E-21
30055.80,9.03E-21
30055.90,6.02E-21
30056.00,7.93E-21
30056.10,1.48E-20
30056.20,1.83E-20
30056.30,1.81E-20
30056.40,2.11E-20
30056.50,2.20E-20
30056.60,2.44E-20
30056.70,3.37E-20
30056.80,4.07E-20
30056.90,4.65E-20
30057.00,4.84E-20
30057.10,4.65E-20
30057.20,5.62E-20
30057.30,7.89E-20
30057.40,9.22E-20
30057.50,9.34E-20
30057.60,1.01E-19
30057.70,1.16E-19
30057.80,1.33E-19
30057.90,1.25E-19
30058.00,1.03E-19
30058.10,8.54E-20
30058.20,7.70E-20
30058.30,6.53E-20
30058.40,6.40E-20
30058.50,5.71E-20
30058.60,4.24E-20
30058.70,4.02E-20
30058.80,4.31E-20
30058.90,3.84E-20
30059.00,3.37E-20
30059.10,4.02E-20
30059.20,4.50E-20
30059.30,5.35E-20
30059.40,7.28E-20
30059.50,9.55E-20
30059.60,9.41E-20
30059.70,8.65E-20
30059.80,9.64E-20
30059.90,9.84E-20
30060.00,8.90E-20
30060.10,7.39E-20
30060.20,5.78E-20
30060.30,4.85E-20
30060.40,4.77E-20
30060.50,5.12E-20
30060.60,4.84E-20
30060.70,3.46E-20
30060.80,2.40E-20
30060.90,2.00E-20
30061.00,2.11E-20
30061.10,2.28E-20
30061.20,2.04E-20
30061.30,1.40E-20
30061.40,1.54E-20
30061.50,2.37E-20
30061.60,2.40E-20
30061.70,1.63E-20
30061.80,1.54E-20
30061.90,2.33E-20
30062.00,2.67E-20
30062.10,2.17E-20
30062.20,2.08E-20
30062.30,2.77E-20
30062.40,3.01E-20
30062.50,2.78E-20
30062.60,3.71E-20
30062.70,4.33E-20
30062.80,4.26E-20
30062.90,5.29E-20
30063.00,6.06E-20
30063.10,7.27E-20
30063.20,9.55E-20
30063.30,1.24E-19
30063.40,1.39E-19
30063.50,1.24E-19
30063.60,1.16E-19
30063.70,1.22E-19
30063.80,1.23E-19
30063.90,1.13E-19
30064.00,1.00E-19
30064.10,9.23E-20
30064.20,8.47E-20
30064.30,7.23E-20
30064.40,6.63E-20
30064.50,6.82E-20
30064.60,6.31E-20
30064.70,6.52E-20
30064.80,6.93E-20
30064.90,6.73E-20
30065.00,8.69E-20
30065.10,1.13E-19
30065.20,1.16E-19
30065.30,1.14E-19
