r,1,2,3,4,5,6,7,8,9
0.85,-281.5525849,367.7441863,-263.6739083,-64.55570471,-43.52883261,12.04038054,-31.64499008,43.52883144,-20.4198778
0.85461111,-280.5266051,366.1486627,-262.8534216,-65.66795958,-43.26159146,11.99012347,-32.23454141,43.26158985,-20.3861384
0.85922222,-279.4991667,364.5500868,-262.0336277,-66.77837536,-43.00398612,11.93896432,-32.83205896,43.00398408,-20.35035689
0.86383333,-278.4707065,362.9485897,-261.2145612,-67.88679676,-42.75683019,11.88682695,-33.43821535,42.75682774,-20.31258924
0.86844444,-277.4416584,361.3443019,-260.3962564,-68.9930685,-42.52093727,11.83363517,-34.05368322,42.52093443,-20.27269082
0.87305556,-276.4124532,359.7373537,-259.5787469,-70.09703529,-42.29712097,11.77931282,-34.67913519,42.29711775,-20.23046565
0.87766667,-275.3835186,358.1278748,-258.7620659,-71.19854185,-42.08619489,11.72378374,-35.31524391,42.08619132,-20.18608216
0.88227778,-274.355279,356.5159949,-257.9462461,-72.29743288,-41.88897264,11.66697176,-35.96268199,41.88896873,-20.13993361
0.88688889,-273.3281554,354.901843,-257.1313197,-73.39355312,-41.70626782,11.60880071,-36.62212207,41.70626359,-20.09210934
0.8915,-272.3025654,353.2855478,-256.3173183,-74.48674727,-41.53889403,11.54919442,-37.29423678,41.53888951,-20.04238759
0.89611111,-271.2789232,351.6672375,-255.5042733,-75.57686005,-41.38766487,11.48807674,-37.97969875,41.38766009,-19.99064711
0.90072222,-270.2576383,350.0470398,-254.6922152,-76.66373635,-41.25339368,11.42537156,-38.67918089,41.25338865,-19.93694784
0.90533333,-269.2389954,348.4250822,-253.8811743,-77.74729057,-41.13678537,11.36103052,-39.39346985,41.13678013,-19.88134329
0.90994444,-268.2230375,346.8014914,-253.0711804,-78.82761242,-41.03827136,11.29507521,-40.12363915,41.03826592,-19.82383021
0.91455556,-267.2097804,345.1763938,-252.2622628,-79.90481885,-40.95824062,11.22753808,-40.87080684,40.95823501,-19.76439974
0.91916667,-266.1992415,343.5499152,-251.4544502,-80.97902681,-40.89708211,11.15845158,-41.63609097,40.89707635,-19.70305627
0.92377778,-265.1914393,341.922181,-250.647771,-82.05035323,-40.85518481,11.08784817,-42.42060959,40.85517892,-19.63980659
0.92838889,-264.1863935,340.293316,-249.842253,-83.11891505,-40.83293768,11.0157603,-43.22548076,40.83293167,-19.57465043
0.933,-263.1841252,338.6634443,-249.0379236,-84.18482922,-40.83072969,10.94222042,-44.05182252,40.83072358,-19.50758468
0.93761111,-262.1846562,337.0326897,-248.2348097,-85.24821267,-40.84894981,10.86726097,-44.90075293,40.84894361,-19.43860792
0.94222222,-261.1880097,335.4011751,-247.4329378,-86.30918235,-40.887987,10.79091442,-45.77339004,40.88798073,-19.36771974
0.94683333,-260.1942096,333.7690232,-246.6323339,-87.3678552,-40.94823024,10.71321322,-46.6708519,40.9482239,-19.2949163
0.95144444,-259.2032809,332.1363557,-245.8330235,-88.42434817,-41.03006849,10.63418981,-47.59425656,41.03006209,-19.22019011
0.95605556,-258.2152543,330.503294,-245.0350317,-89.47877818,-41.13389072,10.55387664,-48.54472208,41.13388426,-19.14353313
0.96066667,-257.2302016,328.8699586,-244.2383832,-90.53126219,-41.26008589,10.47230618,-49.5233665,41.26007939,-19.0649367
0.96527778,-256.2482146,327.2364696,-243.4431022,-91.58191714,-41.40904298,10.38951086,-50.53130788,41.40903643,-18.98439168
0.96988889,-255.2693847,325.6029462,-242.6492125,-92.63085996,-41.58115096,10.30552315,-51.56966428,41.58114435,-18.9018878
0.9745,-254.2938033,323.969507,-241.8567373,-93.6782076,-41.77679878,10.22037549,-52.63955373,41.77679212,-18.81741404
0.97911111,-253.3215613,322.3362702,-241.0656996,-94.724077,-41.99637543,10.13410033,-53.7420943,41.99636871,-18.730957
0.98372222,-252.3527491,320.7033528,-240.2761218,-95.7685851,-42.24026986,10.04673014,-54.87840403,42.24026308,-18.64250248
0.98833333,-251.3874566,319.0708715,-239.488026,-96.81184884,-42.50887104,9.95829735,-56.04960098,42.5088642,-18.55203499
0.99294444,-250.425773,317.4389421,-238.7014338,-97.85398516,-42.80256795,9.86883442,-57.2568032,42.80256102,-18.45953842
0.99755556,-249.4677871,315.8076798,-237.9163663,-98.89511101,-43.12174955,9.7783738,-58.50112874,43.12174253,-18.36499617
1.00216667,-248.5135866,314.1771988,-237.1328444,-99.93534051,-43.46678503,9.68694652,-59.7836571,43.4667779,-18.26839118
1.00677778,-247.5632583,312.5476128,-236.3508883,-100.974713,-43.83751719,9.59454546,-61.10444199,43.83750995,-18.16970424
1.01138889,-246.6168522,310.9190346,-235.5705182,-102.0131868,-44.23321944,9.5011223,-62.46242745,44.23321207,-18.06891224
1.016,-245.6743555,309.2915763,-234.7917534,-103.0507163,-44.65313676,9.40662663,-63.85650213,44.65312926,-17.96599256
1.02061111,-244.73575,307.6653492,-234.0146132,-104.0872559,-45.09651415,9.31100807,-65.28555473,45.0965065,-17.86092636
1.02522222,-243.8010174,306.0404638,-233.2391163,-105.1227598,-45.56259658,9.21421622,-66.74847391,45.56258879,-17.75369082
1.02983333,-242.8701399,304.4170297,-232.465281,-106.1571825,-46.05062905,9.11620068,-68.24414834,46.05062112,-17.64425802
1.03444444,-241.9431,302.7951559,-231.6931254,-107.1904783,-46.55985655,9.01691105,-69.77146671,46.55984848,-17.53260658
1.03905556,-241.0198801,301.1749503,-230.922667,-108.2226014,-47.08952407,8.91629696,-71.32931768,47.08951586,-17.41871154
1.04366667,-240.1004626,299.5565203,-230.1539229,-109.2535064,-47.63887659,8.81430799,-72.91658993,47.63886826,-17.302544
1.04827778,-239.18483,297.9399721,-229.3869101,-110.2831474,-48.20715911,8.71089376,-74.53217214,48.20715066,-17.18407591
1.05288889,-238.2729646,296.3254112,-228.621645,-111.3114789,-48.79361661,8.60600386,-76.17495298,48.79360806,-17.06327993
1.0575,-237.3648483,294.7129424,-227.8581435,-112.3384552,-49.39749408,8.49958791,-77.84382112,49.39748545,-16.94012579
1.06211111,-236.4604426,293.1026695,-227.0964216,-113.3640307,-50.01803652,8.39159552,-79.53766523,50.01802782,-16.81458315
1.06672222,-235.5595659,291.4946952,-226.3364944,-114.3881596,-50.65448891,8.28197628,-81.255374,50.65448016,-16.68661959
1.07133333,-234.6619771,289.8891217,-225.5783769,-115.4107964,-51.30609624,8.17067979,-82.9958361,51.30608747,-16.55620466
1.07594444,-233.7674374,288.28605,-224.8220838,-116.4318954,-51.9721035,8.05765568,-84.75794019,51.97209474,-16.42330642
1.08055556,-232.8757101,286.6855805,-224.0676294,-117.4514109,-52.65175567,7.94285354,-86.54057496,52.65174695,-16.28787864
1.08516667,-231.9865606,285.0878124,-223.3150276,-118.4692972,-53.34429775,7.82622297,-88.34262908,53.3442891,-16.14990463
1.08977778,-231.0997564,283.492844,-222.5642919,-119.4855088,-54.04897473,7.70771359,-90.16299123,54.04896619,-16.00933999
1.09438889,-230.2150668,281.900773,-221.8154356,-120.4999999,-54.7650316,7.58727499,-92.00055007,54.76502319,-15.86614679
1.099,-229.3322626,280.3116958,-221.0684716,-121.5127249,-55.49171334,7.46485679,-93.85419429,55.49170511,-15.7202904
1.10361111,-228.4511163,278.7257081,-220.3234124,-122.5236382,-56.22826494,7.34040858,-95.72281255,56.22825694,-15.57172685
1.10822222,-227.5714016,277.1429045,-219.5802704,-123.5326941,-56.97393139,7.21387998,-97.60529353,56.97392367,-15.42041918
1.11283333,-226.6928926,275.5633787,-218.8390574,-124.5398469,-57.72795769,7.08522059,-99.50052591,57.72795028,-15.26632499
1.11744444,-225.815306,273.9872235,-218.099785,-125.545051,-58.48958881,6.95438,-101.4073984,58.48958178,-15.10940284
1.12205556,-224.9382715,272.4145307,-217.3624645,-126.5482607,-59.25806975,6.82130784,-103.3247996,59.25806315,-14.94960992
1.12666667,-224.0614136,270.845391,-216.6271069,-127.5494304,-60.03264551,6.68595371,-105.2516182,60.03263938,-14.7869013
1.13127778,-223.1843598,269.2798944,-215.8937227,-128.5485145,-60.81256106,6.5482672,-107.1867429,60.81255548,-14.62123163
1.13588889,-222.3067395,267.7181298,-215.1623224,-129.5454671,-61.59706139,6.40819793,-109.1290624,61.59705642,-14.45255333
1.1405,-221.4281846,266.1601849,-214.432916,-130.5402428,-62.3853915,6.26569549,-111.0774653,62.3853872,-14.28081953
1.14511111,-220.5483286,264.6061468,-213.7055131,-131.5327959,-63.17679638,6.12070951,-113.0308403,63.17679281,-14.1059801
1.14972222,-219.6668068,263.0561012,-212.9801234,-132.5230806,-63.97052101,5.97318957,-114.9880761,63.97051824,-13.92798537
1.15433333,-218.7832561,261.5101332,-212.2567559,-133.5110583,-64.76567265,5.82315905,-116.947823,64.76567076,-13.74678357
1.15894444,-217.8973145,259.9683265,-211.5354195,-134.4967227,-65.56069825,5.67099489,-118.9075883,65.56069729,-13.56232259
1.16355556,-217.0086213,258.4307642,-210.8161227,-135.4800778,-66.35384712,5.5171799,-120.8645372,66.35384712,-13.37454803
1.16816667,-216.1170412,256.897528,-210.0988739,-136.4611272,-67.14336853,5.36219689,-122.815835,67.14336952,-13.18340474
1.17277778,-215.2237976,255.3686988,-209.3836812,-137.4398748,-67.92751175,5.20652868,-124.7586467,67.92751373,-12.98883489
1.17738889,-214.3306047,253.8443565,-208.6705521,-138.4163244,-68.70452607,5.05065808,-126.6901376,68.704529,-12.79078002
1.182,-213.4391536,252.3245799,-207.9594943,-139.3904796,-69.47266074,4.89506791,-128.6074729,69.47266459,-12.58918052
1.18661111,-212.5511122,250.8094467,-207.250515,-140.3623442,-70.23016504,4.74024098,-130.5078177,70.23016976,-12.38397522
1.19122222,-211.6681252,249.2990338,-206.543621,-141.3319221,-70.97528824,4.58666011,-132.3883371,70.97529375,-12.17510247
1.19583333,-210.7918153,247.7934168,-205.8388191,-142.299217,-71.70627962,4.43480811,-134.2461965,71.70628581,-11.96249856
1.20044444,-209.9237832,246.2926704,-205.1361158,-143.2642326,-72.42138876,4.2851674,-136.0785613,72.42139553,-11.74609728
1.20505556,-209.0656086,244.7968684,-204.4355171,-144.2269538,-73.11932693,4.13762405,-137.883293,73.11933414,-11.52583248
1.20966667,-208.2188502,243.3060831,-203.7370291,-145.1873084,-73.80019182,3.9902734,-139.6603414,73.80019934,-11.30164151
1.21427778,-207.3850471,241.8203864,-203.0406574,-146.1452136,-74.46434029,3.84087603,-141.4100472,74.464348,-11.07344842
1.21888889,-206.565705,240.3398486,-202.3464075,-147.1005867,-75.11212921,3.68719251,-143.1327508,75.11213698,-10.84118694
1.2235,-205.7617361,238.8645392,-201.6542846,-148.0533447,-75.74391542,3.52698342,-144.8287929,75.74392314,-10.60478493
1.22811111,-204.9732685,237.3945266,-200.9642937,-149.003405,-76.3600558,3.35800934,-146.4985139,76.36006335,-10.36416892
1.23272222,-204.2003726,235.9298782,-200.2764394,-149.9506848,-76.96090721,3.17803085,-148.1422543,76.96091446,-10.11926592
1.23733333,-203.4431156,234.4706604,-199.5907264,-150.8951012,-77.54682649,2.98480852,-149.7603548,77.54683334,-9.87000017
1.24194444,-202.7015624,233.0169383,-198.9071589,-151.8365714,-78.11817052,2.77610294,-151.3531558,78.11817686,-9.61629702
1.24655556,-201.9757748,231.5687761,-198.225741,-152.7750128,-78.67529615,2.54967467,-152.9209978,78.67530188,-9.35808063
1.25116667,-201.2658123,230.1262371,-197.5464764,-153.7103423,-79.21856029,2.30331255,-154.4642216,79.2185653,-9.09527289
1.25577778,-200.5717317,228.6893832,-196.869369,-154.6424694,-79.74832446,2.03812281,-155.9831921,79.74832867,-8.82779705
1.26038889,-199.8935875,227.2582756,-196.194422,-155.5712881,-80.26495913,1.76160157,-157.4783205,80.26496249,-8.55557347
1.265,-199.2314318,225.8329741,-195.5216387,-156.496691,-80.76883576,1.48197175,-158.9500233,80.76883826,-8.2785246
1.26961111,-198.5853143,224.4135377,-194.851022,-157.4185705,-81.26032582,1.20745628,-160.3987172,81.26032751,-7.99657005
1.27422222,-197.9552225,223.0000243,-194.1825749,-158.3368192,-81.7398008,0.9462781,-161.8248186,81.73980174,-7.70963065
1.27883333,-197.3408278,221.5924905,-193.5162999,-159.2513294,-82.20763214,0.70666011,-163.228744,82.20763247,-7.41762902
1.28344444,-196.7417002,220.1909922,-192.8521994,-160.1619936,-82.66419134,0.49682524,-164.6109102,82.66419121,-7.12047911
1.28805556,-196.1574119,218.795584,-192.1902756,-161.0687043,-83.10984986,0.32499643,-165.9717335,83.10984947,-6.81811126
1.29266667,-195.5875373,217.4063195,-191.5305306,-161.971354,-83.54497917,0.19939659,-167.3116305,83.54497877,-6.51044834
1.29727778,-195.0316526,216.0232513,-190.8729661,-162.8698352,-83.96995074,0.12824865,-168.6310179,83.96995063,-6.19740863
1.30188889,-194.4893358,214.6464309,-190.2175838,-163.7640402,-84.38513707,0.11959827,-169.930312,84.38513757,-5.87891928
1.3065,-193.9601669,213.2759086,-189.5643853,-164.6538634,-84.79094844,0.17497654,-171.2099252,84.79094986,-5.55490601
1.31111111,-193.4437272,211.9117339,-188.9133717,-165.5392008,-85.187843,0.2876637,-172.4702648,85.18784553,-5.22529755
1.31572222,-192.9395998,210.5539551,-188.2645443,-166.4199487,-85.57628195,0.45040933,-173.7117377,85.57628567,-4.89001954
1.32033333,-192.4473691,209.2026195,-187.6179039,-167.2960035,-85.95672652,0.65596305,-174.9347509,85.95673138,-4.54901999
1.32494444,-191.9666242,207.8577733,-186.9734513,-168.1672614,-86.32963792,0.89707445,-176.1397114,86.32964377,-4.20221506
1.32955556,-191.4970692,206.5194616,-186.3311872,-169.0336188,-86.69547735,1.16649313,-177.3270261,86.69548393,-3.84950033
1.33416667,-191.0385427,205.1877286,-185.6911119,-169.8949719,-87.05470605,1.45696869,-178.4971019,87.05471296,-3.49129047
1.33877778,-190.5908905,203.8626174,-185.0532257,-170.751217,-87.40778522,1.76125074,-179.6503458,87.40779196,-3.12322773
1.34338889,-190.1539576,202.5441699,-184.4175289,-171.6022505,-87.75517607,2.07208887,-180.7871647,87.75518203,-2.7515428
1.348,-189.7275879,201.2324273,-183.7840212,-172.4479686,-88.09733983,2.38223269,-181.9079656,88.09734427,-2.37531006
1.35261111,-189.3116245,199.9274293,-183.1527026,-173.2882618,-88.43472608,2.6847097,-183.0131441,88.43472816,-1.99247684
1.35722222,-188.9059096,198.629215,-182.5235727,-174.1229208,-88.76758465,2.97731656,-184.1029022,88.76758367,-1.60367041
1.36183333,-188.5102845,197.3378222,-181.896631,-174.9516523,-89.09599744,3.26186109,-185.1772789,89.09599301,-1.20865742
1.36644444,-188.1245897,196.0532878,-181.2718769,-175.7741602,-89.42004109,3.54027603,-186.2363082,89.42003313,-0.8074743
1.37105556,-187.7486646,194.7756475,-180.6493096,-176.5901486,-89.73979225,3.81449409,-187.280024,89.73978102,-0.40009012
1.37566667,-187.382348,193.5049361,-180.0289281,-177.3993217,-90.05532756,4.08644797,-188.3084604,90.05531365,0.01350312
1.38027778,-187.0254824,192.2411875,-179.4107315,-178.2013834,-90.36672368,4.35807041,-189.3216511,90.36670798,0.43330423
1.38488889,-186.6779304,190.9844343,-178.7947185,-178.9960378,-90.67405724,4.63129411,-190.3196303,90.67404099,0.85931021
1.3895,-186.3395596,189.7347084,-178.1808878,-179.7829889,-90.97740489,4.9080518,-191.3024319,90.97738964,1.29150965
1.39411111,-186.0102367,188.4920403,-177.569238,-180.5619409,-91.27684329,5.19027619,-192.2700898,91.27683091,1.72988358
1.39872222,-185.6898272,187.2564598,-176.9597674,-181.3325977,-91.57244908,5.47990001,-193.2226379,91.57244178,2.17440788
1.40333333,-185.3781959,186.0279957,-176.3524744,-182.0946706,-91.86430215,5.77850089,-194.1601064,91.86430208,2.62505259
1.40794444,-185.0752063,184.8066755,-175.747357,-182.8479391,-92.15251344,6.08426991,-195.0824878,92.15251909,3.08177648
1.41255556,-184.7807212,183.592526,-175.1444135,-183.592218,-92.43720765,6.3936526,-195.9897534,92.43721224,3.5445328
1.41716667,-184.4946022,182.3855729,-174.5436416,-184.3272745,-92.71844783,6.70546321,-196.8818658,92.71844633,4.0132706
1.42177778,-184.2167104,181.185841,-173.9450393,-185.0528342,-92.99624352,7.02057738,-197.7587797,92.99623859,4.48793518
1.42638889,-183.9469055,179.9933539,-173.3486041,-185.7686306,-93.27060925,7.33943056,-198.6204449,93.27060603,4.96846575
1.431,-183.6850473,178.8081344,-172.7543337,-186.4744097,-93.54156865,7.66177183,-199.4668046,93.54156741,5.45479342
1.43561111,-183.4310093,177.6302042,-172.1622255,-187.1699241,-93.80913736,7.98740046,-200.2977988,93.80913545,5.94684882
1.44022222,-183.1846791,176.4595843,-171.5722769,-187.8549383,-94.07331269,8.3163259,-201.113362,94.07330969,6.44456276
1.44483333,-182.9459444,175.2962943,-170.9844852,-188.5292202,-94.33408975,8.64856566,-201.9134298,94.33408741,6.94786193
1.44944444,-182.7146918,174.1403532,-170.3988475,-189.1925427,-94.59146433,8.98407172,-202.6979425,94.59146404,7.45665864
1.45405556,-182.4908073,172.9917789,-169.8153609,-189.8446845,-94.84543147,9.3227857,-203.4668419,94.84543367,7.97086427
1.45866667,-182.2741758,171.8505884,-169.2340223,-190.4854507,-95.09598107,9.66467107,-204.220071,95.09598479,8.4904025
1.46327778,-182.0646817,170.7167976,-168.6548285,-191.114657,-95.34310006,10.00969852,-204.9575744,95.34310298,9.01519977
1.46788889,-181.8622084,169.5904217,-168.0777764,-191.7321324,-95.58676373,10.35783341,-205.6793063,95.58676398,9.54516636
1.4725,-181.6666386,168.4714747,-167.5028625,-192.3377144,-95.82694298,10.70903825,-206.3852272,95.82694018,10.08020541
1.47711111,-181.4778546,167.35997,-166.9300836,-192.9312548,-96.06365208,11.06328013,-207.0753021,96.0636472,10.62026161
1.48172222,-181.2957378,166.2559197,-166.359436,-193.5126189,-96.29694243,11.4205303,-207.7495007,96.29693763,11.16531452
1.48633333,-181.1201704,165.1593353,-165.7909161,-194.0816908,-96.52678757,11.78075986,-208.4078063,96.52678455,11.71523672
1.49094444,-180.9510388,164.0702272,-165.2245203,-194.6383807,-96.75305105,12.14393955,-209.0502214,96.75304878,12.26975126
