wavenumber,cross_sec
30000.00,1.41E-20
30000.10,2.55E-20
30000.20,2.74E-20
30000.30,2.68E-20
30000.40,3.28E-20
30000.50,3.87E-20
30000.60,3.59E-20
30000.70,2.93E-20
30000.80,3.02E-20
30000.90,3.61E-20
30001.00,3.25E-20
30001.10,3.09E-20
30001.20,4.00E-20
30001.30,3.66E-20
30001.40,3.39E-20
30001.50,5.28E-20
30001.60,6.28E-20
30001.70,5.00E-20
30001.80,4.17E-20
30001.90,3.36E-20
30002.00,2.96E-20
30002.10,3.29E-20
30002.20,4.26E-20
30002.30,5.80E-20
30002.40,6.29E-20
30002.50,6.43E-20
30002.60,6.74E-20
30002.70,7.26E-20
30002.80,8.54E-20
30002.90,8.90E-20
30003.00,8.37E-20
30003.10,8.61E-20
30003.20,1.07E-19
30003.30,1.53E-19
30003.40,1.94E-19
30003.50,1.89E-19
30003.60,1.77E-19
30003.70,1.74E-19
30003.80,1.84E-19
30003.90,2.24E-19
30004.00,2.63E-19
30004.10,2.58E-19
30004.20,2.94E-19
30004.30,3.80E-19
30004.40,4.75E-19
30004.50,6.18E-19
30004.60,7.51E-19
30004.70,8.29E-19
30004.80,8.72E-19
30004.90,9.05E-19
30005.00,9.19E-19
30005.10,9.13E-19
30005.20,9.21E-19
30005.30,8.83E-19
30005.40,8.39E-19
30005.50,9.39E-19
30005.60,1.07E-18
30005.70,1.20E-18
30005.80,1.36E-18
30005.90,1.47E-18
30006.00,1.50E-18
30006.10,1.40E-18
30006.20,1.22E-18
30006.30,1.08E-18
30006.40,1.01E-18
30006.50,9.15E-19
30006.60,7.45E-19
30006.70,6.09E-19
30006.80,5.62E-19
30006.90,5.79E-19
30007.00,5.68E-19
30007.10,4.94E-19
30007.20,5.05E-19
30007.30,5.79E-19
30007.40,6.14E-19
30007.50,6.68E-19
30007.60,6.49E-19
30007.70,6.22E-19
30007.80,6.40E-19
30007.90,6.11E-19
30008.00,5.53E-19
30008.10,5.05E-19
30008.20,4.54E-19
30008.30,3.90E-19
30008.40,3.36E-19
30008.50,2.80E-19
30008.60,2.53E-19
30008.70,2.23E-19
30008.80,1.80E-19
30008.90,1.56E-19
30009.00,1.64E-19
30009.10,1.74E-19
30009.20,1.56E-19
30009.30,1.22E-19
30009.40,8.76E-20
30009.50,6.87E-20
30009.60,8.15E-20
30009.70,8.08E-20
30009.80,6.04E-20
30009.90,6.27E-20
30010.00,7.70E-20
30010.10,7.82E-20
30010.20,7.23E-20
30010.30,6.72E-20
30010.40,5.05E-20
30010.50,4.06E-20
30010.60,4.63E-20
30010.70,4.86E-20
30010.80,4.38E-20
30010.90,4.56E-20
30011.00,5.91E-20
30011.10,6.41E-20
30011.20,5.47E-20
30011.30,4.66E-20
30011.40,4.43E-20
30011.50,4.42E-20
30011.60,3.60E-20
30011.70,3.54E-20
30011.80,4.24E-20
30011.90,3.86E-20
30012.00,3.72E-20
30012.10,4.18E-20
30012.20,4.71E-20
30012.30,4.54E-20
30012.40,4.10E-20
30012.50,3.64E-20
30012.60,3.17E-20
30012.70,3.78E-20
30012.80,4.84E-20
30012.90,4.67E-20
30013.00,4.10E-20
30013.10,4.11E-20
30013.20,3.69E-20
30013.30,3.31E-20
30013.40,2.95E-20
30013.50,2.44E-20
30013.60,2.39E-20
30013.70,2.30E-20
30013.80,2.20E-20
30013.90,2.99E-20
30014.00,4.00E-20
30014.10,3.86E-20
30014.20,3.54E-20
30014.30,3.83E-20
30014.40,3.21E-20
30014.50,2.52E-20
30014.60,2.99E-20
30014.70,3.64E-20
30014.80,3.22E-20
30014.90,2.81E-20
30015.00,4.41E-20
30015.10,6.33E-20
30015.20,6.75E-20
30015.30,6.70E-20
30015.40,6.12E-20
30015.50,4.79E-20
30015.60,3.91E-20
30015.70,3.35E-20
30015.80,3.48E-20
30015.90,3.63E-20
30016.00,3.13E-20
30016.10,3.00E-20
30016.20,3.76E-20
30016.30,3.99E-20
30016.40,4.01E-20
30016.50,3.92E-20
30016.60,4.01E-20
30016.70,5.20E-20
30016.80,5.98E-20
30016.90,6.22E-20
30017.00,5.70E-20
30017.10,5.74E-20
30017.20,7.23E-20
30017.30,6.28E-20
30017.40,4.78E-20
30017.50,5.17E-20
30017.60,5.40E-20
30017.70,5.91E-20
30017.80,6.38E-20
30017.90,7.23E-20
30018.00,9.99E-20
30018.10,1.12E-19
30018.20,1.05E-19
30018.30,1.06E-19
30018.40,1.19E-19
30018.50,1.31E-19
30018.60,1.42E-19
30018.70,1.51E-19
30018.80,1.71E-19
30018.90,1.96E-19
30019.00,2.24E-19
30019.10,2.66E-19
30019.20,3.24E-19
30019.30,4.02E-19
30019.40,5.06E-19
30019.50,6.26E-19
30019.60,7.37E-19
30019.70,7.63E-19
30019.80,7.77E-19
30019.90,8.48E-19
30020.00,8.36E-19
30020.10,7.42E-19
30020.20,6.79E-19
30020.30,6.11E-19
30020.40,5.76E-19
30020.50,5.84E-19
30020.60,6.17E-19
30020.70,6.78E-19
30020.80,7.69E-19
30020.90,8.83E-19
30021.00,9.44E-19
30021.10,9.57E-19
30021.20,9.68E-19
30021.30,1.00E-18
30021.40,1.06E-18
30021.50,1.09E-18
30021.60,1.14E-18
