wavenumber,cross_sec
30000.00,2.93E-21
30000.10,3.77E-21
30000.20,1.61E-21
30000.30,6.91E-22
30000.40,2.27E-21
30000.50,4.03E-21
30000.60,2.58E-21
30000.70,1.54E-21
30000.80,2.27E-21
30000.90,3.63E-21
30001.00,3.81E-21
30001.10,3.59E-21
30001.20,4.14E-21
30001.30,6.53E-21
30001.40,5.78E-21
30001.50,2.58E-21
30001.60,2.21E-21
30001.70,3.18E-21
30001.80,3.74E-21
30001.90,2.82E-21
30002.00,2.06E-21
30002.10,2.49E-21
30002.20,3.50E-21
30002.30,4.42E-21
30002.40,3.42E-21
30002.50,1.81E-21
30002.60,1.12E-21
30002.70,1.22E-21
30002.80,2.47E-21
30002.90,5.58E-21
30003.00,7.99E-21
30003.10,7.03E-21
30003.20,3.93E-21
30003.30,2.08E-21
30003.40,1.57E-21
30003.50,9.98E-22
30003.60,8.15E-22
30003.70,1.22E-21
30003.80,1.86E-21
30003.90,2.99E-21
30004.00,4.30E-21
30004.10,4.94E-21
30004.20,7.15E-21
30004.30,6.61E-21
30004.40,3.61E-21
30004.50,3.88E-21
30004.60,1.51E-20
30004.70,1.88E-19
30004.80,7.97E-19
30004.90,9.87E-19
30005.00,3.59E-19
30005.10,3.87E-20
30005.20,1.90E-21
30005.30,9.25E-22
30005.40,2.24E-21
30005.50,4.81E-21
30005.60,5.90E-21
30005.70,2.16E-20
30005.80,2.96E-19
30005.90,1.37E-18
30006.00,1.87E-18
30006.10,7.42E-19
30006.20,8.61E-20
30006.30,3.80E-21
30006.40,2.02E-21
30006.50,3.43E-21
30006.60,5.42E-21
30006.70,6.65E-21
30006.80,6.51E-21
30006.90,5.78E-21
30007.00,3.06E-21
30007.10,1.14E-21
30007.20,6.33E-22
30007.30,4.06E-21
30007.40,8.31E-20
30007.50,5.38E-19
30007.60,1.02E-18
30007.70,5.62E-19
30007.80,9.13E-20
30007.90,5.33E-21
30008.00,7.62E-22
30008.10,3.45E-22
30008.20,6.12E-22
30008.30,1.65E-21
30008.40,1.87E-21
30008.50,8.91E-22
30008.60,3.17E-22
30008.70,2.85E-22
30008.80,3.92E-22
30008.90,4.55E-22
30009.00,6.72E-22
30009.10,1.82E-21
30009.20,3.45E-21
30009.30,2.22E-21
30009.40,5.77E-22
30009.50,4.83E-22
30009.60,8.96E-22
30009.70,1.64E-21
30009.80,3.05E-21
30009.90,2.95E-21
30010.00,1.38E-21
30010.10,6.25E-22
30010.20,3.32E-22
30010.30,2.43E-22
30010.40,7.82E-22
30010.50,3.52E-21
30010.60,2.75E-20
30010.70,2.83E-19
30010.80,9.70E-19
30010.90,9.76E-19
30011.00,2.87E-19
30011.10,2.42E-20
30011.20,1.07E-21
30011.30,7.87E-22
30011.40,6.29E-22
30011.50,1.38E-21
30011.60,3.68E-21
30011.70,3.47E-21
30011.80,1.40E-21
30011.90,1.16E-21
30012.00,1.70E-21
30012.10,3.28E-21
30012.20,4.48E-21
30012.30,2.46E-21
30012.40,1.67E-21
30012.50,6.21E-21
30012.60,1.21E-20
30012.70,1.07E-20
30012.80,5.50E-21
30012.90,3.55E-21
30013.00,4.58E-21
30013.10,3.91E-21
30013.20,1.95E-21
30013.30,3.54E-21
30013.40,6.42E-21
30013.50,5.41E-21
30013.60,2.44E-21
30013.70,1.90E-21
30013.80,2.65E-21
30013.90,2.33E-21
30014.00,1.25E-21
30014.10,8.89E-22
30014.20,1.78E-21
30014.30,2.48E-21
30014.40,1.42E-21
30014.50,4.22E-22
30014.60,2.69E-22
30014.70,4.10E-22
30014.80,1.24E-21
30014.90,1.99E-21
30015.00,1.73E-21
30015.10,1.65E-21
30015.20,1.30E-21
30015.30,1.01E-21
30015.40,1.11E-21
30015.50,8.36E-22
30015.60,1.12E-21
30015.70,5.02E-21
30015.80,9.65E-21
30015.90,7.75E-21
30016.00,4.82E-21
30016.10,6.53E-21
30016.20,7.18E-21
30016.30,5.04E-21
30016.40,2.25E-21
30016.50,1.49E-21
30016.60,2.04E-21
30016.70,2.35E-21
30016.80,4.04E-21
30016.90,7.22E-21
30017.00,9.33E-21
30017.10,9.89E-21
30017.20,5.98E-21
30017.30,4.44E-21
30017.40,4.44E-21
30017.50,2.39E-21
30017.60,1.54E-21
30017.70,2.51E-21
30017.80,4.63E-21
30017.90,3.62E-21
30018.00,1.91E-21
30018.10,1.34E-21
30018.20,2.51E-21
30018.30,1.08E-20
30018.40,1.71E-20
30018.50,9.45E-21
30018.60,2.78E-21
30018.70,1.59E-21
30018.80,2.68E-21
30018.90,3.03E-21
30019.00,1.95E-21
30019.10,1.15E-21
30019.20,1.60E-21
30019.30,1.77E-21
30019.40,1.67E-21
30019.50,3.71E-21
30019.60,4.81E-20
30019.70,3.93E-19
30019.80,9.78E-19
30019.90,7.13E-19
30020.00,1.52E-19
30020.10,1.17E-20
30020.20,3.30E-21
30020.30,3.33E-21
30020.40,1.87E-21
30020.50,1.83E-21
30020.60,4.16E-21
30020.70,4.37E-21
30020.80,3.28E-21
30020.90,1.72E-20
30021.00,2.03E-19
30021.10,7.93E-19
30021.20,9.12E-19
30021.30,3.08E-19
30021.40,3.45E-20
30021.50,4.51E-21
30021.60,2.27E-21
30021.70,3.12E-20
30021.80,3.42E-19
30021.90,1.21E-18
30022.00,1.26E-18
30022.10,3.90E-19
30022.20,4.07E-20
30022.30,6.24E-21
30022.40,2.08E-21
30022.50,7.29E-22
30022.60,1.59E-21
30022.70,4.45E-21
30022.80,5.94E-21
30022.90,3.11E-21
30023.00,1.86E-21
30023.10,2.55E-21
30023.20,3.87E-21
30023.30,4.77E-21
30023.40,4.23E-21
30023.50,3.28E-21
30023.60,2.92E-21
30023.70,3.05E-21
30023.80,1.83E-21
30023.90,1.62E-21
30024.00,2.96E-20
30024.10,3.20E-19
30024.20,1.04E-18
30024.30,9.84E-19
30024.40,2.73E-19
30024.50,2.23E-20
30024.60,1.72E-21
30024.70,1.21E-21
30024.80,1.69E-21
30024.90,3.10E-21
30025.00,4.16E-21
30025.10,4.31E-21
30025.20,3.77E-21
30025.30,2.35E-21
30025.40,1.61E-21
30025.50,2.39E-21
30025.60,3.12E-21
30025.70,3.67E-21
30025.80,5.63E-21
30025.90,6.05E-21
30026.00,3.27E-21
30026.10,2.11E-21
30026.20,2.39E-21
30026.30,1.99E-21
30026.40,2.17E-21
30026.50,2.30E-21
30026.60,1.73E-21
30026.70,1.62E-21
30026.80,3.20E-21
30026.90,8.49E-21
30027.00,1.04E-19
30027.10,6.43E-19
30027.20,1.19E-18
30027.30,6.47E-19
30027.40,1.05E-19
30027.50,7.48E-21
30027.60,4.38E-21
30027.70,3.97E-21
30027.80,2.68E-21
30027.90,3.38E-21
30028.00,3.72E-21
30028.10,3.76E-21
30028.20,4.27E-21
30028.30,5.32E-21
30028.40,4.08E-21
30028.50,2.79E-21
30028.60,2.69E-21
30028.70,2.43E-21
30028.80,3.47E-21
30028.90,4.56E-21
30029.00,5.95E-21
30029.10,4.73E-21
30029.20,2.44E-21
30029.30,2.12E-21
30029.40,2.82E-21
30029.50,3.93E-21
30029.60,6.55E-21
30029.70,7.75E-21
30029.80,3.47E-21
30029.90,1.69E-21
30030.00,3.89E-21
30030.10,6.31E-21
30030.20,7.71E-21
30030.30,7.60E-21
30030.40,7.38E-21
30030.50,8.01E-21
30030.60,6.14E-21
30030.70,3.30E-21
30030.80,2.54E-21
30030.90,2.85E-21
30031.00,3.15E-21
30031.10,2.33E-21
30031.20,1.59E-21
30031.30,2.89E-21
30031.40,2.89E-21
30031.50,2.23E-21
30031.60,4.29E-21
30031.70,6.68E-21
30031.80,6.75E-21
30031.90,5.52E-21
30032.00,6.15E-21
30032.10,6.07E-21
30032.20,1.04E-19
30032.30,1.87E-18
30032.40,9.62E-18
30032.50,1.43E-17
30032.60,6.17E-18
30032.70,7.63E-19
30032.80,3.06E-20
30032.90,8.13E-21
30033.00,2.01E-20
30033.10,4.22E-20
30033.20,3.62E-20
30033.30,1.32E-20
30033.40,6.40E-21
30033.50,7.28E-21
30033.60,5.62E-21
30033.70,2.36E-21
30033.80,7.99E-22
30033.90,3.63E-22
30034.00,8.58E-22
30034.10,2.23E-21
30034.20,2.52E-21
30034.30,1.31E-21
30034.40,5.08E-22
30034.50,5.61E-22
30034.60,9.90E-22
30034.70,1.32E-21
30034.80,1.92E-20
30034.90,2.22E-19
30035.00,7.79E-19
30035.10,8.03E-19
30035.20,2.45E-19
30035.30,5.74E-20
30035.40,3.09E-19
30035.50,8.07E-19
30035.60,6.20E-19
30035.70,1.40E-19
30035.80,1.30E-20
30035.90,4.85E-21
30036.00,3.29E-21
30036.10,1.48E-21
30036.20,1.12E-21
30036.30,2.95E-21
30036.40,4.03E-21
30036.50,3.47E-21
30036.60,3.36E-21
30036.70,2.67E-21
30036.80,3.70E-21
30036.90,6.57E-21
30037.00,1.07E-19
30037.10,1.50E-18
30037.20,6.11E-18
30037.30,7.20E-18
30037.40,2.46E-18
30037.50,2.42E-19
30037.60,7.58E-21
30037.70,1.52E-21
30037.80,1.41E-20
30037.90,2.06E-19
30038.00,9.45E-19
30038.10,1.27E-18
30038.20,5.01E-19
30038.30,5.84E-20
30038.40,3.90E-21
30038.50,1.16E-21
30038.60,5.95E-22
30038.70,5.99E-22
30038.80,8.82E-22
30038.90,1.87E-21
30039.00,2.32E-21
30039.10,1.41E-21
30039.20,1.10E-21
30039.30,1.52E-21
30039.40,2.25E-21
30039.50,1.98E-21
30039.60,1.27E-21
30039.70,1.24E-21
30039.80,1.15E-21
30039.90,1.68E-21
30040.00,1.69E-21
30040.10,9.16E-22
30040.20,5.44E-22
30040.30,4.76E-22
30040.40,2.31E-21
30040.50,5.02E-20
30040.60,4.43E-19
30040.70,1.15E-18
30040.80,8.74E-19
30040.90,1.94E-19
30041.00,1.38E-20
30041.10,2.04E-21
30041.20,1.35E-21
30041.30,1.19E-21
30041.40,1.44E-21
30041.50,2.51E-21
30041.60,1.97E-21
30041.70,9.07E-22
30041.80,8.55E-22
30041.90,1.54E-21
30042.00,1.48E-21
30042.10,7.43E-22
30042.20,4.91E-22
30042.30,4.02E-22
30042.40,4.08E-22
30042.50,6.56E-22
30042.60,1.21E-21
30042.70,1.79E-21
30042.80,2.64E-21
30042.90,2.77E-21
30043.00,2.53E-21
30043.10,2.44E-21
30043.20,1.91E-21
30043.30,1.08E-21
30043.40,1.74E-21
30043.50,2.82E-21
30043.60,1.91E-21
30043.70,6.36E-22
30043.80,5.33E-22
30043.90,1.15E-21
30044.00,1.64E-21
30044.10,2.24E-21
30044.20,2.57E-21
30044.30,1.62E-21
30044.40,7.30E-22
30044.50,3.36E-22
30044.60,9.14E-22
30044.70,3.78E-21
30044.80,1.09E-20
30044.90,1.66E-20
30045.00,1.30E-20
30045.10,9.68E-21
30045.20,6.55E-21
