r,1,2,3,4,5,6
0.85,7.61E+04,1.05E+05,1.48E+05,1.39E+05,1.68E+05,8.30E+05
0.85461111,7.39E+04,1.03E+05,1.46E+05,1.37E+05,1.66E+05,8.05E+05
0.85922222,7.18E+04,1.01E+05,1.44E+05,1.35E+05,1.64E+05,7.81E+05
0.86383333,6.97E+04,9.91E+04,1.42E+05,1.33E+05,1.62E+05,7.57E+05
0.86844444,6.77E+04,9.72E+04,1.40E+05,1.31E+05,1.60E+05,7.35E+05
0.87305556,6.57E+04,9.54E+04,1.38E+05,1.29E+05,1.58E+05,7.13E+05
0.87766667,6.38E+04,9.36E+04,1.36E+05,1.27E+05,1.56E+05,6.92E+05
0.88227778,6.19E+04,9.19E+04,1.34E+05,1.25E+05,1.54E+05,6.72E+05
0.88688889,6.01E+04,9.02E+04,1.33E+05,1.23E+05,1.52E+05,6.52E+05
0.8915,5.83E+04,8.85E+04,1.31E+05,1.21E+05,1.50E+05,6.34E+05
0.89611111,5.65E+04,8.69E+04,1.29E+05,1.20E+05,1.48E+05,6.16E+05
0.90072222,5.48E+04,8.53E+04,1.28E+05,1.18E+05,1.47E+05,5.98E+05
0.90533333,5.31E+04,8.38E+04,1.26E+05,1.16E+05,1.45E+05,5.81E+05
0.90994444,5.15E+04,8.23E+04,1.25E+05,1.14E+05,1.43E+05,5.65E+05
0.91455556,4.99E+04,8.08E+04,1.23E+05,1.13E+05,1.42E+05,5.49E+05
0.91916667,4.84E+04,7.94E+04,1.22E+05,1.11E+05,1.40E+05,5.34E+05
0.92377778,4.69E+04,7.80E+04,1.20E+05,1.10E+05,1.39E+05,5.20E+05
0.92838889,4.54E+04,7.66E+04,1.19E+05,1.08E+05,1.37E+05,5.05E+05
0.933,4.40E+04,7.53E+04,1.17E+05,1.07E+05,1.36E+05,4.92E+05
0.93761111,4.26E+04,7.40E+04,1.16E+05,1.06E+05,1.34E+05,4.79E+05
0.94222222,4.12E+04,7.28E+04,1.15E+05,1.04E+05,1.33E+05,4.66E+05
0.94683333,3.99E+04,7.15E+04,1.13E+05,1.03E+05,1.32E+05,4.54E+05
0.95144444,3.86E+04,7.03E+04,1.12E+05,1.02E+05,1.31E+05,4.42E+05
0.95605556,3.73E+04,6.92E+04,1.11E+05,1.01E+05,1.29E+05,4.30E+05
0.96066667,3.61E+04,6.80E+04,1.10E+05,9.94E+04,1.28E+05,4.19E+05
0.96527778,3.49E+04,6.69E+04,1.08E+05,9.83E+04,1.27E+05,4.08E+05
0.96988889,3.37E+04,6.58E+04,1.07E+05,9.72E+04,1.26E+05,3.98E+05
0.9745,3.26E+04,6.47E+04,1.06E+05,9.61E+04,1.25E+05,3.88E+05
0.97911111,3.15E+04,6.37E+04,1.05E+05,9.50E+04,1.24E+05,3.78E+05
